CODE_SYSTEM,CODE_VALUE,LOINC_NUM,COMPONENT,DisplayName,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,AnswerListId,ANSWER_LIST_TYPE,EXAMPLE_UNITS,UnitsAndRange,LONG_COMMON_NAME,DefinitionDescription
NAACCR_ID,672,21877-6,"Surgery procedure for regional nodes at facility.YYY","",Prid,Pt,Cancer.XXX,Nom,"","","","","","Surgery procedure for regional nodes at facility.YYY Cancer","Describes the removal, biopsy, or aspiration of regional lymph node(s) at the time of surgery of the primary site or during a separate surgical event at the reporting facility.

In evaluating quality of care and treatment practices it is important to identify the removal, biopsy, or aspiration of regional lymph node(s) at the time of surgery of the primary site or during a separate surgical event. If central registries wish to study the treatment given at particular hospitals, the hospital-level treatment fields must be used. The summary treatment fields, conversely, combine information across all hospitals that provide first course of treatment for the tumor. Hospital-specific fields allow studies of detailed referral patterns and treatment by type of hospital. Knowing the extent of treatment given at a particular hospital also helps resolve coding issues.. NAACCR Data Standards and Data Dictionary Version 11"
NAACCR_ID,674,21878-4,"Other regional disease at facility.YYY most definitive procedure","",Prid,Pt,Cancer.XXX,Nom,"","","","","","Other regional disease at facility.YYY most definitive procedure Cancer","Records the surgical removal of distant lymph nodes or other tissue(s)/organ(s) beyond the primary site at this facility.

The removal of non-primary tissue documents the extent of surgical treatment and is useful in evaluating the extent of metastatic involvement. If central registries wish to study the treatment given at particular hospitals, the hospital-level treatment fields must be used. The summary treatment fields, conversely, combine information across all hospitals that provide first course of treatment for the tumor. Hospital-specific fields allow studies of detailed referral patterns and treatment by type of hospital. Knowing what part of the treatment was given at a particular hospital also helps resolve coding issues... NAACCR Data Standards and Data Dictionary Version 11"
NAACCR_ID,676,21879-2,"Surgery.regional nodes examined at facility.YYY most definitive procedure","",Num,Surg,Cancer.XXX,Qn,"","","","","","Surgery.regional nodes examined at facility.YYY most definitive procedure [#] Surgery Cancer","Describes number of regional lymph nodes removed as part of the first course of treatment. This item reflects that portion of the first course of treatment given at the reporting facility.

If central registries wish to study the treatment given at particular hospitals, the hospital-level treatment fields must be used. The summary treatment fields, conversely, combine information across all hospitals that provide first course of treatment for the tumor. Hospital-specific fields allow studies of detailed referral patterns and treatment by type of hospital. Knowing the extent of treatment given at a particular hospital also helps resolve coding issues... NAACCR Data Standards and Data Dictionary Version 11"
NAACCR_ID,690,21880-0,"Radiation Rx therapy","",Type,Pt,Cancer.XXX,Nom,"",LL456-5,NORMATIVE,"","","Radiation treatment therapy Cancer","Defines the type of radiation therapy the patient received as a part of the initial treatment for the reportable tumor at the reporting facility.

If central registries wish to study the treatment given at particular hospitals, the hospital-level treatment fields must be used. The summary treatment fields, conversely, combine information across all hospitals that provide first course of treatment for the tumor. Hospital-specific fields allow studies of detailed referral patterns and treatment by type of hospital. Knowing what part of the treatment was given at a particular hospital also helps resolve coding issues... NAACCR Data Standards and Data Dictionary Version 11"
NAACCR_ID,700,21881-8,"Chemotherapy Rx at facility.YYY","",Type,Pt,Cancer.XXX,Nom,"",LL458-1,NORMATIVE,"","","Chemotherapy treatment at facility.YYY Cancer","Defines the type of chemotherapy the patient received as a part of the initial treatment for the reportable tumor at the reporting facility or the reason chemotherapy was not given.

If central registries wish to study the treatment given at particular hospitals, the hospital-level treatment fields must be used. The summary treatment fields, conversely, combine information across all hospitals that provide first course of treatment for the tumor. Hospital-specific fields allow studies of detailed referral patterns and treatment by type of hospital. Knowing what part of the treatment was given at a particular hospital also helps resolve coding issues... NAACCR Data Standards and Data Dictionary Version 11"
NAACCR_ID,710,21882-6,"Hormone Rx at facility.YYY","",Type,Pt,Cancer.XXX,Nom,"",LL459-9,NORMATIVE,"","","Hormone treatment at facility.YYY Cancer","Records whether systemic hormonal agents were administered as first-course treatment at this facility or the reason they were not given. Hormone therapy consists of a group of drugs that may affect the long-term control of a cancer's growth. It is not usually used as a curative measure.

Systemic therapy may involve the administration of one or a combination of agents. This data item allows for the evaluation of the administration of hormonal agents as part of the first course of therapy. If central registries wish to study the treatment given at particular hospitals, the hospital-level treatment fields must be used. The summary treatment fields, conversely, combine information across all hospitals that provide first course of treatment for the tumor. Hospital-specific fields allow studies of detailed referral patterns and treatment by type of hospital. Knowing what part of the treatment was given at a particular hospital also helps resolve coding issues... NAACCR Data Standards and Data Dictionary Version 11"
NAACCR_ID,720,21883-4,"Transplant Rx at facility.YYY","",Type,Pt,Cancer.XXX,Nom,"",LL457-3,NORMATIVE,"","","Transplant treatment at facility.YYY Cancer","Records whether immunotherapeutic agents (biologic response modifiers) were administered as first-course treatment at this facility or the reason they were not given. Immunotherapy consists of biological or chemical agents that alter the immune system or change the host's response to tumor cells.

Systemic therapy may involve the administration of one or a combination of agents. This data item allows for the evaluation of the administration of immunotherapeutic agents as part of the first course of therapy. If central registries wish to study the treatment given at particular hospitals, the hospital-level treatment fields must be used. The summary treatment fields, conversely, combine information across all hospitals that provide first course of treatment for the tumor. Hospital-specific fields allow studies of detailed referral patterns and treatment by type of hospital. Knowing what part of the treatment was given at a particular hospital also helps resolve coding issues... NAACCR Data Standards and Data Dictionary Version 11"
NAACCR_ID,730,21884-2,"Other Rx at facility.YYY","",Type,Pt,Cancer.XXX,Nom,"",LL454-0,NORMATIVE,"","","Other treatment at facility.YYY Cancer","Identifies other treatment given at this facility that cannot be defined as surgery, radiation, or systemic therapy according to the defined data items in this manual. Treatment for reportable hematopoietic diseases can be supportive care, observation, or any treatment that does not meet the usual definition in which treatment modifies, controls, removes, or destroys proliferating cancer tissue. Such treatments include phlebotomy, transfusions, and aspirin.

Information on other therapy is used to describe and evaluate the quality-of-care and treatment practices. If central registries wish to study the treatment given at particular hospitals, the hospital-level treatment fields must be used. The summary treatment fields, conversely, combine information across all hospitals that provide first course of treatment for the tumor. Hospital-specific fields allow studies of detailed referral patterns and treatment by type of hospital. Knowing what part of the treatment was given at a particular hospital also helps resolve coding issues... NAACCR Data Standards and Data Dictionary Version 11"
NAACCR_ID,740,21885-9,"Surgery.not cancer Rx at facility.YYY","",Type,Pt,Cancer.XXX,Nom,"",LL461-5,NORMATIVE,"","","Surgery.not cancer treatment at facility.YYY","Identifies the surgical procedure(s) performed in an effort to diagnose and/or stage disease at this facility. Used for cases diagnosed in 1996 and later. Earlier data may be converted into this field. See also RX Hosp--Surg Prim Site [670].

If central registries wish to study the procedures given at particular hospitals, the hospital-level fields must be used. The summary fields, conversely, combine information across all hospitals that provide for the tumor. Hospital-specific fields allow studies of detailed referral patterns and treatment by type of hospital. Knowing what part of the treatment was given at a particular hospital also helps resolve coding issues... NAACCR Data Standards and Data Dictionary Version 11"
NAACCR_ID,742,21886-7,"Breast-prostate staging.NAACCR","",Type,Pt,Cancer.XXX,Nom,"","","","","","Breast-prostate staging.NAACCR","The NAACCR UDSC approved to retire this data item in Version 11... NAACCR Data Standards and Data Dictionary Version 11"
NAACCR_ID,746,42036-4,"Cancer-Directed surgery at this facility 98-02","",Prid,Pt,Cancer.XXX,Nom,"","","","","","Cancer-Directed surgery at this facility 98-02","Describes surgical procedures used to treat the primary site of the reportable tumor. This item records that portion of the first course of treatment given at the reporting facility. This field is to be used for ROADS codes after the ROADS to FORDS conversion. It is also to be used to code Surgery Primary Site at the reporting facility for all tumors diagnosed before January 1, 2003. See Chapter V, Unresolved Issues, for a discussion of differences in treatment coding among groups and over time.

If central registries wish to study the treatment given at particular hospitals, the hospital-level treatment fields must be used. The summary treatment fields, conversely, combine information across all hospitals that provide first course of treatment for the tumor. Hospital-specific fields allow studies of detailed referral patterns and treatment by type of hospital. Knowing what part of the treatment was given at a particular hospital also helps resolve coding issues.
.. NAACCR Data Standards and Data Dictionary Version 11"
NAACCR_ID,747,42037-2,"Scope of regional lymph node surgery at this facility 98-02","",Prid,Pt,Cancer.XXX,Nom,"","","","","","Scope of regional lymph node surgery at this facility 98-02 Cancer","Describes the removal, biopsy, or aspiration of regional lymph node(s) at the time of surgery of the primary site or during a separate surgical event at the reporting facility. This field is to be used for ROADS codes after the ROADS to FORDS conversion. It is also to be used to code Scope of Regional Lymph Node Surgery at the reporting facility for all tumors diagnosed before January 1, 2003.

In evaluating quality of care and treatment practices it is important to identify the removal, biopsy, or aspiration of regional lymph node(s) at the time of surgery of the primary site or during a separate surgical event. 

If central registries wish to study the treatment given at particular hospitals, the hospital-level treatment fields must be used. The summary treatment fields, conversely, combine information across all hospitals that provide first course of treatment for the tumor. Hospital-specific fields allow studies of detailed referral patterns and treatment by type of hospital. Knowing the extent of treatment given at a particular hospital also helps resolve coding issues.
.. NAACCR Data Standards and Data Dictionary Version 11"
NAACCR_ID,748,42038-0,"Surgery of other regional site(s), distant site(s), or distant lymph node(s) at this facility 98-02","",Prid,Pt,Cancer.XXX,Nom,"","","","","","Surgery of other regional site(s), distant site(s), or distant lymph node(s) at this facility 98-02 Cancer","Records the surgical removal of distant lymph nodes or other tissue(s)/organ(s) beyond the primary site at this facility. This field is to be used for ROADS codes after the ROADS to FORDS conversion. It is also to be used to code Surgery Other Regional/Distant Sites at the reporting facility for all tumors diagnosed before January 1, 2003.

The removal of non-primary tissue documents the extent of surgical treatment and is useful in evaluating the extent of metastatic involvement. If central registries wish to study the treatment given at particular hospitals, the hospital-level treatment fields must be used. The summary treatment fields, conversely, combine information across all hospitals that provide first course of treatment for the tumor. Hospital-specific fields allow studies of detailed referral patterns and treatment by type of hospital. Knowing what part of the treatment was given at a particular hospital also helps resolve coding issues.
.. NAACCR Data Standards and Data Dictionary Version 11"
NAACCR_ID,759,39806-5,"Stage.summary at Dx 2000 revised","",Type,Pt,Cancer.XXX,Nom,"",LL228-8,NORMATIVE,"","","Summary stage at Dx 2000 revised Cancer","Code for summary stage at the initial diagnosis or treatment of the reportable tumor. For hospital registries, COC requires its use in the absence of a defined AJCC classification. For site-specific definitions of categories, see SEER Summary Staging Manual 2000.

Summary stage should include all information available through completion of surgery(ies) in the first course of treatment or within 4 months of diagnosis in the absence of disease progression, whichever is longer.

Stage information is important when evaluating the effects of cancer control programs. It is crucial in understanding whether changes over time in incidence rates or outcomes are due to earlier detection of the cancers. In addition, cancer treatment cannot be studied without knowing the stage at diagnosis... NAACCR Data Standards and Data Dictionary Version 11"
NAACCR_ID,760,21887-5,"SEER summary stage 1977","",Type,Pt,Cancer.XXX,Nom,"",LL228-8,NORMATIVE,"","","SEER summary stage 1977 Cancer","Code for summary stage at the initial diagnosis or treatment of the reportable tumor. This has traditionally been used by central registries to monitor time trends. For hospital registries, COC requires its use in the absence of a defined AJCC classification. For site-specific definitions of categories, see the SEER Summary Staging Guide.

SEER Summary Stage 1977 is limited to information available within 2 months of the date of diagnosis. NAACCR approved extension of this time period to 4 months for prostate tumors diagnosed beginning January 1, 1995.

Stage information is important when evaluating the effects of cancer control programs. It is crucial for understanding whether changes over time in incidence rates or outcomes are due to earlier detection of the cancers. In addition, cancer treatment cannot be studied without knowing the stage at diagnosis.

To study historical trends in stage, the coding system must be relatively unchanged (stable) over time. AJCC's TNM system is updated periodically to maintain clinical relevance with changes in diagnosis and treatment. The surveillance registries often rely on the Summary Stage, which they consider to be more ""stable."" Summary Stage has been in widespread use, either as the primary staging scheme or a secondary scheme, in most central and hospital registries since 1977... NAACCR Data Standards and Data Dictionary Version 11"
NAACCR_ID,770,21888-3,"Stage.summary abbreviated at Dx","",Type,Pt,Cancer.XXX,Nom,"",LL230-4,NORMATIVE,"","","Summary stage abbreviated at Dx Cancer","This is used if no other (e.g., TNM, AJCC) staging information is available. The NAACCR UDSC approved to retire this data item in Version 11... NAACCR Data Standards and Data Dictionary Version 11"
NAACCR_ID,780,21889-1,Size,"",Len,Pt,Tumor,Qn,"","","",mm,"","Size Tumor","Part of the 10-digit EOD [779]. Detailed site-specific codes for anatomic EOD used by SEER for tumors diagnosed from 1988 forward. This field is included in the COC dataset, separate from EOD. Codes were revised effective January 1, 1998, to reflect changes in the AJCC Cancer Staging Manual, Fifth Edition.

Site-specific EOD codes provide extensive detail describing disease extent. The EOD codes can be grouped into different stage categories for analysis (e.g., historical summary stage categories consistent with those used in published SEER data since 1973, or more recently, AJCC stage groupings). The codes are updated as needed, but updates are usually backward compatible with old categories. See Comparative Staging Guide for Cancer.. NAACCR Data Standards and Data Dictionary Version 11"
NAACCR_ID,790,21890-9,Extension,"",Type,Pt,Cancer.XXX,Nom,"","","","","","Extension Cancer","Part of the 10-digit EOD [779]. Detailed site-specific codes for anatomic EOD used by SEER for tumors diagnosed from 1988 forward. This field is included in the COC dataset, separate from EOD. Codes were revised effective January 1, 1998, to reflect changes in the AJCC Cancer Staging Manual, Fifth Edition.

Site-specific EOD codes provide extensive detail describing disease extent. The EOD codes can be grouped into different stage categories for analysis (e.g., historical summary stage categories consistent with those used in published SEER data since 1973, or more recently, AJCC stage groupings). The codes are updated as needed, but updates are usually backward compatible with old categories. See Comparative Staging Guide for Cancer.. NAACCR Data Standards and Data Dictionary Version 11"
NAACCR_ID,800,21891-7,"Extent of disease","",Type,Pt,"Prostate cancer.XXX",Nom,"","","","","","Extent of disease Prostate cancer","Part of the 10-digit EOD [779]. Detailed site-specific codes for anatomic EOD used by SEER for tumors diagnosed from 1988 forward. Codes were revised effective January 1, 1998, to reflect changes in the AJCC Cancer Staging Manual, Fifth Edition.

Site-specific EOD codes provide extensive detail describing disease extent. The EOD codes can be grouped into different stage categories for analysis (e.g., historical summary stage categories consistent with those used in published SEER data since 1973, or more recently, AJCC stage groupings). The codes are updated as needed, but updates are usually backward compatible with old categories. See Comparative Staging Guide for Cancer. EOD--Extension Prost Path is an additional field for prostate cancer only to reflect information from radical prostatectomy, effective with 1995 diagnoses. The field is left blank for all other primaries... NAACCR Data Standards and Data Dictionary Version 11"
NAACCR_ID,810,21892-5,"Lymph node involvement","",Type,Pt,Cancer.XXX,Nom,"","","","","","Lymph node involvement Cancer","Part of the 10-digit EOD [779]. Detailed site-specific codes for anatomic EOD used by SEER for tumors diagnosed from 1988 forward. Codes were revised effective January 1, 1998, to reflect changes in the AJCC Cancer Staging Manual, Fifth Edition.

Site-specific EOD codes provide extensive detail describing disease extent. The EOD codes can be grouped into different stage categories for analysis (e.g., historical summary stage categories consistent with those used in published SEER data since 1973, or more recently, AJCC stage groupings). The codes are updated as needed, but updates are usually backward compatible with old categories. See Comparative Staging Guide for Cancer... NAACCR Data Standards and Data Dictionary Version 11"
NAACCR_ID,820,21893-3,"Regional lymph nodes positive","",Num,Pt,Specimen,Qn,"","","",#,"","Regional lymph nodes positive [#] Specimen","Records the exact number of regional nodes examined by the pathologist and found to contain metastases. Beginning with tumors diagnosed on or after January 1, 2004, this item is a component of the Collaborative Stage system. Tumors diagnosed from 1988 through 2003,this item is part of the 10-digit EOD [779], detailed site-specific codes for anatomic EOD.

This data item is necessary for pathologic staging, and it serves as a quality measure for pathology reports and the extent of the surgical evaluation and treatment of the patient. NAACCR Data Standards and Data Dictionary Version 11"
NAACCR_ID,830,21894-1,"Regional lymph nodes examined","",Num,Pt,Specimen,Qn,"","","",#,"","Regional lymph nodes examined [#] Specimen","Records the total number of regional lymph nodes that were removed and examined by the pathologist. Beginning with tumors diagnosed on or after January 1, 2004, this item is a component of the Collaborative Stage system. Tumors diagnosed from 1988 through 2003, this item is a part of the 10-digit EOD [779], detailed site-specific codes for anatomic EOD.

This data item serves as a quality measure of the pathologic and surgical evaluation and treatment of the patient... NAACCR Data Standards and Data Dictionary Version 11"
NAACCR_ID,840,21895-8,"Extent of disease.NAACCR.old 13 digit","",Prid,Pt,Cancer.XXX,Nom,"","","","","","Extent of disease.NAACCR.old 13 digit","Detailed site-specific codes for EOD used by SEER for selected sites of cancer for tumors diagnosed 1973-1982, except death-certificate-only cases... NAACCR Data Standards and Data Dictionary Version 11"
NAACCR_ID,850,21896-6,"Extent of disease.NAACCR.old 2 digit","",Prid,Pt,Cancer.XXX,Nom,"","","","","","Extent of disease.NAACCR.old 2 digit","Site-specific codes for EOD used by SEER for tumors diagnosed from January 1, 1973, to December 31, 1982, for cancer sites that did not have a 13-digit scheme see EOD--Old 13 Digit [840]... NAACCR Data Standards and Data Dictionary Version 11"
NAACCR_ID,860,21897-4,"Extent of disease.NAACCR.old 4 digit","",Prid,Pt,Cancer.XXX,Nom,"","","","","","Extent of disease.NAACCR.old 4 digit","Codes for site-specific EOD used by SEER for tumors diagnosed from January 1, 1983, to December 31, 1987, for all cancer sites... NAACCR Data Standards and Data Dictionary Version 11"
NAACCR_ID,870,21898-2,"Version used","",Type,Pt,"Extent of disease coding system",Nom,"",LL453-2,NORMATIVE,"","","Version used Extent of disease coding system","Indicates the type of SEER EOD code applied to the tumor. Should be used whenever EOD coding is applied.

Used in data editing and analysis.. NAACCR Data Standards and Data Dictionary Version 11"
NAACCR_ID,880,21899-0,"Primary tumor.pathology","",Prid,Pt,Cancer.XXX,Nom,"",LL232-0,NORMATIVE,"","","Primary tumor.pathology Cancer","Detailed site-specific codes for the pathologic tumor (T) as defined by AJCC and recorded by the physician. Pathologic, clinical, and other stage data are given three separate areas in the NAACCR Data Exchange Record Layout.

COC requires that AJCC TNM staging be used in its approved cancer programs. AJCC developed its staging system for evaluating trends in the treatment and control of cancer. This staging is used by physicians to estimate prognosis, to plan treatment, to evaluate new types of therapy, to analyze outcome, to design follow-up strategies, and to assess early detection results... NAACCR Data Standards and Data Dictionary Version 11"
NAACCR_ID,890,21900-6,"Regional lymph nodes.pathology","",Class,Pt,Cancer.XXX,Nom,"",LL3136-0,NORMATIVE,"","","Regional lymph nodes.pathology [Class] Cancer","Detailed site-specific codes for the pathologic nodes (N) as defined by AJCC and recorded by physician. Pathologic, clinical, and other stage data are given three separate areas in the NAACCR Data Exchange Record Layout.

COC requires that AJCC TNM staging be used in its approved cancer programs. AJCC developed its staging system for evaluating trends in the treatment and control of cancer. This staging is used by physicians to estimate prognosis, to plan treatment, to evaluate new types of therapy, to analyze outcome, to design follow-up strategies, and to assess early detection results... NAACCR Data Standards and Data Dictionary Version 11"
NAACCR_ID,900,21901-4,"Distant metastases.pathology","",Class,Pt,Cancer.XXX,Nom,"",LL3137-8,NORMATIVE,"","","Distant metastases.pathology [Class] Cancer","Detailed site-specific codes for the pathologic metastases (M) as defined by AJCC and recorded by the physician. Pathologic, clinical, and other stage data are given three separate areas in the NAACCR Data Exchange Record Layout.

COC requires that AJCC TNM staging be used in its approved cancer programs. AJCC developed its staging system for evaluating trends in the treatment and control of cancer. This staging is used by physicians to estimate prognosis, to plan treatment, to evaluate new types of therapy, to analyze outcome, to design follow-up strategies, and to assess early detection results... NAACCR Data Standards and Data Dictionary Version 11"
NAACCR_ID,910,21902-2,"Stage group.pathology","",Class,Pt,Cancer.XXX,Nom,"",LL234-6,NORMATIVE,"","","Stage group.pathology Cancer","Detailed site-specific codes for the pathologic stage group as defined by AJCC and recorded by the physician. Pathologic, clinical, and other stage data are given three separate areas in the NAACCR Data Exchange Record Layout.

COC requires that AJCC TNM staging be used in its approved cancer programs. AJCC developed its staging system for evaluating trends in the treatment and control of cancer. This staging is used by physicians to estimate prognosis, to plan treatment, to evaluate new types of therapy, to analyze outcome, to design follow-up strategies, and to assess early detection results... NAACCR Data Standards and Data Dictionary Version 11"
NAACCR_ID,920,21903-0,Descriptor.pathology,"",Find,Pt,Cancer.XXX,Nar,"",LL235-3,NORMATIVE,"","","Descriptor.pathology Cancer Narrative","Detailed site-specific codes for the pathologic stage group as defined by AJCC and recorded by the physician. Pathologic, clinical, and other stage data are given three separate areas in the NAACCR Data Exchange Record Layout.

COC requires that AJCC TNM staging be used in its approved cancer programs. AJCC developed its staging system for evaluating trends in the treatment and control of cancer. This staging is used by physicians to estimate prognosis, to plan treatment, to evaluate new types of therapy, to analyze outcome, to design follow-up strategies, and to assess early detection results... NAACCR Data Standards and Data Dictionary Version 11"
NAACCR_ID,930,21904-8,Stager.pathology,"",Type,Pt,Cancer.XXX,Nom,"",LL236-1,NORMATIVE,"","","Stager.pathology Cancer","Identifies the person who recorded the pathologic AJCC staging elements and the stage group in the patient's medical record.

Data captured in this field can be used to evaluate the accuracy and completeness of physician staging and form the basis for quality management and improvement studies. This item is used to monitor compliance with the COC Staging Standard. The medical record contains the AJCC stage assigned/initialed by the managing physician... NAACCR Data Standards and Data Dictionary Version 11"
NAACCR_ID,940,21905-5,"Primary tumor.clinical","",Class,Pt,Cancer.XXX,Nom,"",LL237-9,NORMATIVE,"","","Primary tumor.clinical [Class] Cancer","Detailed site-specific codes for the clinical tumor (T) as defined by AJCC and recorded by the physician. Pathologic, clinical, and other stage data are given three separate areas in the NAACCR Data Exchange Record Layout.

COC requires that AJCC TNM staging be used in its approved cancer programs. AJCC developed its staging system for evaluating trends in the treatment and control of cancer. This staging is used by physicians to estimate prognosis, to plan treatment, to evaluate new types of therapy, to analyze outcome, to design follow-up strategies, and to assess early detection results... NAACCR Data Standards and Data Dictionary Version 11"
NAACCR_ID,950,21906-3,"Regional lymph nodes.clinical","",Class,Pt,Cancer.XXX,Nom,"",LL238-7,NORMATIVE,"","","Regional lymph nodes.clinical [Class] Cancer","Detailed site-specific codes for the clinical nodes (N) as defined by AJCC and recorded by the physician. Pathologic, clinical, and other stage data are given three separate areas in the NAACCR Data Exchange Record Layout.

COC requires that AJCC TNM staging be used in its approved cancer programs. AJCC developed its staging system for evaluating trends in the treatment and control of cancer. This staging is used by physicians to estimate prognosis, to plan treatment, to evaluate new types of therapy, to analyze outcome, to design follow-up strategies, and to assess early detection results... NAACCR Data Standards and Data Dictionary Version 11"
NAACCR_ID,960,21907-1,"Distant metastases.clinical","",Class,Pt,Cancer.XXX,Nom,"",LL239-5,NORMATIVE,"","","Distant metastases.clinical [Class] Cancer","Detailed site-specific codes for the clinical metastases (M) as defined by AJCC and recorded by the physician. Pathologic, clinical, and other stage data are given three separate areas in the NAACCR Data Exchange Record Layout.

COC requires that AJCC TNM staging be used in its approved cancer programs. AJCC developed its staging system for evaluating trends in the treatment and control of cancer. This staging is used by physicians to estimate prognosis, to plan treatment, to evaluate new types of therapy, to analyze outcome, to design follow-up strategies, and to assess early detection results.. NAACCR Data Standards and Data Dictionary Version 11"
NAACCR_ID,970,21908-9,"Stage group.clinical","",Class,Pt,Cancer.XXX,Nom,"",LL240-3,NORMATIVE,"","","Stage group.clinical Cancer","Detailed site-specific codes for the clinical stage group as defined by AJCC and recorded by the physician. Pathologic, clinical, and other stage data are given three separate areas in the NAACCR Data Exchange Record Layout.

COC requires that AJCC TNM staging be used in its approved cancer programs. AJCC developed its staging system for evaluating trends in the treatment and control of cancer. This staging is used by physicians to estimate prognosis, to plan treatment, to evaluate new types of therapy, to analyze outcome, to design follow-up strategies, and to assess early detection results... NAACCR Data Standards and Data Dictionary Version 11"
NAACCR_ID,980,21909-7,Descriptor.clinical,"",Find,Pt,Cancer.XXX,Nar,"",LL241-1,NORMATIVE,"","","Descriptor.clinical Cancer Narrative","Identifies the AJCC clinical stage (prefix/suffix) descriptor as recorded by the physician. AJCC stage descriptors identify special cases that need separate data analysis. The descriptors are adjuncts to and do not change the stage group. Pathologic, clinical, and other stage data are given three separate areas in the NAACCR Data Exchange Record Layout. COC defines a descriptor and ""Staged By"" item for each of these three areas.

COC requires that AJCC TNM staging be used in its approved cancer programs. AJCC developed its staging system for evaluating trends in the treatment and control of cancer. This staging is used by physicians to estimate prognosis, to plan treatment, to evaluate new types of therapy, to analyze outcome, to design follow-up strategies, and to assess early detection results... NAACCR Data Standards and Data Dictionary Version 11"
NAACCR_ID,990,21910-5,Stager.clinical,"",Type,Pt,Cancer.XXX,Nom,"",LL57-1,NORMATIVE,"","","Stager.clinical Cancer","Identifies the person who recorded the clinical AJCC staging elements and the stage group in the patient's medical record.

Data captured in this field can be used to evaluate the accuracy and completeness of physician staging and form the basis for quality management and improvement studies. This item is used to monitor compliance with the COC Staging Standard. The medical record contains the AJCC stage assigned/initialed by the managing physician... NAACCR Data Standards and Data Dictionary Version 11"
NAACCR_ID,1000,21911-3,"Primary tumor.other","",Class,Pt,Cancer.XXX,Nom,"",LL53-0,NORMATIVE,"","","Primary tumor.other [Class] Cancer","Value of this field depends on value of Primary Site (400).. The NAACCR UDSC approved to retire this data item in Version 11... NAACCR Data Standards and Data Dictionary Version 11"
NAACCR_ID,1010,21912-1,"Regional lymph nodes.other","",Class,Pt,Cancer.XXX,Nom,"",LL53-0,NORMATIVE,"","","Regional lymph nodes.other [Class] Cancer","The NAACCR UDSC approved to retire this data item in Version 11... NAACCR Data Standards and Data Dictionary Version 11"
NAACCR_ID,1020,21913-9,"Distant metastases.other","",Class,Pt,Cancer.XXX,Nom,"",LL53-0,NORMATIVE,"","","Distant metastases.other [Class] Cancer","The NAACCR UDSC approved to retire this data item in Version 11... NAACCR Data Standards and Data Dictionary Version 11"
NAACCR_ID,1030,21914-7,"Stage group.other","",Class,Pt,Cancer.XXX,Nom,"",LL56-3,NORMATIVE,"","","Stage group.other Cancer","Value of this field depends on value of Primary Site (400). The NAACCR UDSC approved to retire this data item in Version 11... NAACCR Data Standards and Data Dictionary Version 11"
NAACCR_ID,1040,21915-4,Stager.other,"",Type,Pt,Cancer.XXX,Nom,"",LL57-1,NORMATIVE,"","","Stager.other Cancer","From COC. The NAACCR UDSC approved to retire this data item in Version 11... NAACCR Data Standards and Data Dictionary Version 11"
NAACCR_ID,1050,21916-2,Descriptor.other,"",Find,Pt,Cancer.XXX,Nar,"",LL58-9,NORMATIVE,"","","Descriptor.other Cancer Narrative","From COC. The NAACCR UDSC approved to retire this data item in Version 11... NAACCR Data Standards and Data Dictionary Version 11"
NAACCR_ID,1060,21917-0,"Version used","",ID,Pt,"TNM classification",Nom,"",LL59-7,NORMATIVE,"","","Version used [Identifier] TNM classification","A code that indicates the edition of the AJCC manual used to stage the case. This applies to the manually coded AJCC fields. It does not apply to the Derived AJCC T, N, M and AJCC Stage Group fields [2940, 2960, 2980, and 3000].

TNM codes have changed over time and conversion is not always simple. Therefore, a case-specific indicator is needed to allow grouping of cases for comparison... NAACCR Data Standards and Data Dictionary Version 11"
NAACCR_ID,1070,21918-8,"Other staging classification","",Class,Pt,Cancer.XXX,Nar,"","","","","","Other staging classification Cancer Narrative","The NAACCR UDSC approved to retire this data item in Version 11... NAACCR Data Standards and Data Dictionary Version 11"
NAACCR_ID,1080,21919-6,"Date 1st positive Bx","",Date,Pt,Cancer.XXX,Qn,"",LL60-5,NORMATIVE,MMDDYY,"","Date 1st positive Bx Cancer","Date of first positive tissue biopsy/positive histology. See page 81 for date format... NAACCR Data Standards and Data Dictionary Version 11"
NAACCR_ID,1090,21920-4,"Site of distant metastasis","",Anat,Pt,Cancer.XXX,Nom,"",LL61-3,NORMATIVE,"","","Site of distant metastasis Cancer","Codes for a site of distant metastasis at initial diagnosis. There are three individual fields, each with a 1-digit code for a site of metastasis... NAACCR Data Standards and Data Dictionary Version 11"
NAACCR_ID,1120,21921-2,"Pediatric stage","",Type,Pt,Cancer.XXX,Nom,"",LL65-4,NORMATIVE,"","","Pediatric stage Cancer","Code for stage of pediatric tumor in an AJCC stage scheme, a pediatric intergroup study scheme, or a pediatric cooperative group scheme.

Staging of pediatric tumors requires very different schemes from those used to stage adult tumors... NAACCR Data Standards and Data Dictionary Version 11"
NAACCR_ID,1130,21922-0,"Coding system used","",Prid,Pt,"Cancer.XXX pediatric staging",Nom,"",LL66-2,NORMATIVE,"","","Coding system used Cancer pediatric staging","Staging system used to assign the Pediatric Stage.

Staging of pediatric tumors requires very different schemes from those used to stage adult tumors... NAACCR Data Standards and Data Dictionary Version 11"
NAACCR_ID,1140,21923-8,"Pediatric cancer stager","",Type,Pt,Cancer.XXX,Nom,"",LL67-0,NORMATIVE,"","","Pediatric cancer stager","Code for person who documented the pediatric staging system and stage... NAACCR Data Standards and Data Dictionary Version 11"
