item,xmlId,parentTag,description
1751,dateOfLastContactFlag,Patient,"This flag explains why no appropriate value is in the field, Date of Last Contact [1750]. "
445,dateOfMultTumors,Tumor,"    This data item is used to identify the month, day and year the patient is diagnosed with multiple tumors reported as a single primary using the SEER, IARC, or Canadian Cancer Registry    multiple primary rules. See Chapter X for date format. Use DATE OF MULT TUMORS FLAG    [439] if there is no appropriate or known date for this item.        Formerly Date of Multiple Tumors.  "
439,dateOfMultTumorsFlag,Tumor,"This flag explains why no appropriate value is in the field, Date of Mult Tumors [445]. This data item was first available in Volume II Version 12. "
832,dateOfSentinelLymphNodeBiopsy,Tumor,"Records the date of the sentinel lymph node(s) biopsy procedure. This data item is required for CoC-accredited facilities as of cases diagnosed 01/01/2018 and later. 











This data item is required for breast and melanoma cases only. "
833,dateSentinelLymphNodeBiopsyFlag,Tumor,"This flag explains why there is no appropriate value in the corresponding date data item, Date of Sentinel Lymph Node Biopsy [832]. This data item is required for CoC-accredited facilities as of cases diagnosed 01/01/2018 and later. 







This data item is required for breast and melanoma cases only. "
682,dateRegionalLymphNodeDissection,Tumor,Records the date non-sentinel regional node dissection was performed. This data item is required for CoC-accredited facilities as of cases diagnosed 01/01/2018 and later. 
683,dateRegionalLymphNodeDissectionFlag,Tumor,"This flag explains why there is no appropriate value in the corresponding date data item, Date of Regional Lymph Node Dissection [682]. This data item is required for CoC-accredited facilities as of cases diagnosed 01/01/2018 and later."
2113,dateTumorRecordAvailbl,Tumor,"Date the demographic and tumor identification information on a primary/reportable neoplasm, compiled from one or more source records, from one or more facilities, is available in the central cancer registry database to be counted as an incident tumor. Cancer identification information includes, at a minimum, site, histology, laterality, behavior, and date of diagnosis. See Chapter X for date format. "
2370,,,"The NAACCR UDSC retired this data item in Version 6, effective January 1, 1998. See Place of Death [1940]."
2380,dcStateFileNumber,Patient,Death certificate identification number as assigned by the vital statistics office in the place recorded in Place of Death [1940]. 
2980,derivedAjcc6M,Tumor,"This data item belongs to the Collaborative Stage (CS) Data Collection System which is based on the AJCC Cancer Staging Manual, 6th and 7th editions. AJCC T, N, M plus descriptors and AJCC staging components are composed of combinations of characters, numbers, and/or special characters and can be of varying lengths. To more easily handle these components a numeric code was assigned to each unique category for each T, N, M plus descriptors and AJCC stage for 6th and 7th editions. This field contains the numeric representation for AJCC 6th edition “M” and is derived from CS coded fields using the CS algorithm. This numeric representation is referred to as the “storage” code and its associated label is referred to as the “display” code. Explanations of the “storage” codes and their corresponding “display” codes can be found in the most current version of the Collaborative Stage Data Collection System (https://cancerstaging.org/cstage/Pages/default.aspx).13 The display code should be used for display on the screen and in reports."
2990,derivedAjcc6MDescript,Tumor,"This data item belongs to the Collaborative Stage (CS) Data Collection System which is based on the AJCC Cancer Staging Manual, 6th and 7th editions. AJCC T, N, M plus descriptors and AJCC staging components are composed of combinations of characters, numbers, and/or special characters and can be of varying lengths. To more easily handle these components a numeric code was assigned to each unique category for each T, N, M plus descriptors and AJCC stage for 6th and 7th editions. This field contains the numeric representation for AJCC 6th edition “M Descriptor” and is derived from CS coded fields using the CS algorithm. This numeric representation is referred to as the “storage” code and its associated label is referred to as the “display” code. Explanations of the “storage” codes and their corresponding “display” codes can be found in the most current version of the Collaborative Stage Data Collection System (https://cancerstaging.org/cstage/Pages/default.aspx).13 The display code should be used for display on the screen and in reports."
2960,derivedAjcc6N,Tumor,"This data item belongs to the Collaborative Stage (CS) Data Collection System which is based on the AJCC Cancer Staging Manual, 6th and 7th editions. AJCC T, N, M plus descriptors and AJCC staging components are composed of combinations of characters, numbers, and/or special characters and can be of varying lengths. To more easily handle these components a numeric code was assigned to each unique category for each T, N, M plus descriptors and AJCC stage for 6th and 7th editions. This field contains the numeric representation for AJCC 6th edition “N” and is derived from CS coded fields using the CS algorithm. This numeric representation is referred to as the “storage” code and its associated label is referred to as the “display” code. Explanations of the “storage” codes and their corresponding “display” codes can be found in the most current version of the Collaborative Stage Data Collection System (https://cancerstaging.org/cstage/Pages/default.aspx).13 The display code should be used for display on the screen and in reports."
2970,derivedAjcc6NDescript,Tumor,"This data item belongs to the Collaborative Stage (CS) Data Collection System which is based on the AJCC Cancer Staging Manual, 6th and 7th editions. AJCC T, N, M plus descriptors and AJCC staging components are composed of combinations of characters, numbers, and/or special characters and can be of varying lengths. To more easily handle these components a numeric code was assigned to each unique category for each T, N, M plus descriptors and AJCC stage for 6th and 7th editions. This field contains the numeric representation for AJCC 6th edition “N Descriptor” and is derived from CS coded fields using the CS algorithm. This numeric representation is referred to as the “storage” code and its associated label is referred to as the “display” code. Explanations of the “storage” codes and their corresponding “display” codes can be found in the most current version of the Collaborative Stage Data Collection System (https://cancerstaging.org/cstage/Pages/default.aspx).13 The display code should be used for display on the screen and in reports."
3000,derivedAjcc6StageGrp,Tumor,"This data item belongs to the Collaborative Stage (CS) Data Collection System which is based on the AJCC Cancer Staging Manual, 6th and 7th editions. AJCC T, N, M plus descriptors and AJCC staging components are composed of combinations of characters, numbers, and/or special characters and can be of varying lengths. To more easily handle these components a numeric code was assigned to each unique category for each T, N, M plus descriptors and AJCC stage for 6th and 7th editions. This field contains the numeric representation for the AJCC 6th edition “Stage Group” and is derived from CS coded fields using the CS algorithm. This numeric representation is referred to as the “storage” code and its associated label is referred to as the “display” code. Explanations of the “storage” codes and their corresponding “display” codes can be found in the most current version of the Collaborative Stage Data Collection System (https://cancerstaging.org/cstage/Pages/default.aspx).13 The display code should be used for display on the screen and in reports."
2940,derivedAjcc6T,Tumor,"This data item belongs to the Collaborative Stage (CS) Data Collection System which is based on the AJCC Cancer Staging Manual, 6th and 7th editions. AJCC T, N, M plus descriptors and AJCC staging components are composed of combinations of characters, numbers, and/or special characters and can be of varying lengths. To more easily handle these components a numeric code was assigned to each unique category for each T, N, M plus descriptors and AJCC stage for 6th and 7th editions. This field contains the numeric representation for the AJCC 6th edition “T” and is derived from CS coded fields using the CS algorithm. This numeric representation is referred to as the “storage” code and its associated label is referred to as the “display” code. Explanations of the “storage” codes and their corresponding “display” codes can be found in the most current version of the Collaborative Stage Data Collection System (https://cancerstaging.org/cstage/Pages/default.aspx).13 The display code should be used for display on the screen and in reports."
2950,derivedAjcc6TDescript,Tumor,"This data item belongs to the Collaborative Stage (CS) Data Collection System which is based on the AJCC Cancer Staging Manual, 6th and 7th editions. AJCC T, N, M plus descriptors and AJCC staging components are composed of combinations of characters, numbers, and/or special characters and can be of varying lengths. To more easily handle these components a numeric code was assigned to each unique category for each T, N, M plus descriptors and AJCC stage for 6th and 7th editions. This field contains the numeric representation for the AJCC 6th edition “T Descriptor” and is derived from CS coded fields using the CS algorithm. This numeric representation is referred to as the “storage” code and its associated label is referred to as the “display” code. Explanations of the “storage” codes and their corresponding “display” codes can be found in the most current version of the Collaborative Stage Data Collection System (https://cancerstaging.org/cstage/Pages/default.aspx).13 The display code should be used for display on the screen and in reports."
3420,derivedAjcc7M,Tumor,This item is the derived AJCC “M” staging element from coded fields using the CS algorithm. Effective for cases diagnosed 2010+.
3422,derivedAjcc7MDescript,Tumor,This item is the derived AJCC “M Descriptor” from coded fields using the CS algorithm. Effective for cases diagnosed 2010+.
3410,derivedAjcc7N,Tumor,This item is the derived AJCC “N” staging element from coded fields using the CS algorithm. Effective for cases diagnosed 2010+.
3412,derivedAjcc7NDescript,Tumor,This item is the derived AJCC “N Descriptor” from coded fields using the CS algorithm. Effective for cases diagnosed 2010+.
3430,derivedAjcc7StageGrp,Tumor,This item is the derived AJCC “Stage Group” from coded fields using the CS algorithm. Effective for cases diagnosed 2010+.
3400,derivedAjcc7T,Tumor,This item is the derived AJCC “T” staging element from coded fields using the CS algorithm. Effective for cases diagnosed 2010+.
3402,derivedAjcc7TDescript,Tumor,This item is the derived AJCC “T Descriptor” from coded fields using the CS algorithm. Effective for cases diagnosed 2010+.
3030,derivedAjccFlag,Tumor,Flag to indicate whether the derived AJCC stage was derived from CS or EOD codes.
795,derivedEod2018M,Tumor,This item stores the derived EOD 2018 M staging element from coded fields using the EOD algorithm. Effective for cases diagnosed 1/1/2018+.
815,derivedEod2018N,Tumor,This item stores the derived EOD 2018 N staging element from coded fields using the EOD algorithm. Effective for cases diagnosed 1/1/2018+.
818,derivedEod2018StageGroup,Tumor,"Derived EOD 2018 Stage Group is derived using the EOD data collection system (EOD Primary Tumor [772], EOD Regional Nodes [774] and EOD Mets [776]) algorithm. Other data items may be included in the derivation process. Effective for cases diagnosed 1/1/2018+."
785,derivedEod2018T,Tumor,This item stores the derived EOD 2018 T value derived from coded fields using the EOD algorithm. Effective for cases diagnosed 1/1/2018+.
3600,derivedNeoadjuvRxFlag,Tumor,"This data item belongs to the Collaborative Stage (CS) Data Collection System which is based on the 



AJCC Cancer Staging Manual, 6th and 7th editions. This field indicates whether the patient received neoadjuvant therapy (systemic therapy or radiation therapy prior to first course surgical treatment) as part of first course of treatment. "
3490,derivedPostrx7M,Tumor,"This data item belongs to the Collaborative Stage (CS) Data Collection System which is based on the AJCC Cancer Staging Manual, 6th and 7th editions. AJCC T, N, M plus descriptors and AJCC staging components are composed of combinations of characters, numbers, and/or special characters and can be of varying lengths. To more easily handle these components a numeric code was assigned to each unique category for each T, N, M plus descriptors and AJCC stage for 6th and 7th editions. This field contains the numeric representation for the post-treatment AJCC 7th edition “M” and is derived from CS coded fields using the CS algorithm. This numeric representation is referred to as the “storage” code and its associated label is referred to as the “display” code. Explanations of the “storage” codes and their corresponding “display” codes can be found in the most current version of the Collaborative Stage Data Collection System (https://cancerstaging.org/cstage/Pages/default.aspx).13The display code should be used for display on the screen and in reports.The implementation of this data item has been deferred indefinitely. "
3482,derivedPostrx7N,Tumor,"This data item belongs to the Collaborative Stage (CS) Data Collection System which is based on the AJCC Cancer Staging Manual, 6th and 7th editions. AJCC T, N, M plus descriptors and AJCC staging components are composed of combinations of characters, numbers, and/or special characters and can be of varying lengths. To more easily handle these components a numeric code was assigned to each unique category for each T, N, M plus descriptors and AJCC stage for 6th and 7th editions. This field contains the numeric representation for the post-treatment AJCC 7th edition “N” and is derived from CS coded fields using the CS algorithm. This numeric representation is referred to as the “storage” code and its associated label is referred to as the “display” code. Explanations of the “storage” codes and their corresponding “display” codes can be found in the most current version of the Collaborative Stage Data Collection System (https://cancerstaging.org/cstage/Pages/default.aspx).13The display code should be used for display on the screen and in reports.The implementation of this data item has been deferred indefinitely. "
3492,derivedPostrx7StgeGrp,Tumor,"This data item belongs to the Collaborative Stage (CS) Data Collection System which is based on the AJCC Cancer Staging Manual, 6th and 7th editions. AJCC T, N, M plus descriptors and AJCC staging components are composed of combinations of characters, numbers, and/or special characters and can be of varying lengths. To more easily handle these components a numeric code was assigned to each unique category for each T, N, M plus descriptors and AJCC stage for 6th and 7th editions. This field contains the numeric representation for the post-treatment AJCC 7th edition “Stage Group”and is derived from CS coded fields using the CS algorithm. This numeric representation is referred to as the “storage” code and its associated label is referred to as the “display” code. Explanations of the “storage” codes and their corresponding “display” codes can be found in the most current version of the Collaborative Stage Data Collection System (https://cancerstaging.org/cstage/Pages/default.aspx).13The display code should be used for display on the screen and in reports. The implementation of this data item has been deferred indefinitely. "
3480,derivedPostrx7T,Tumor,"This data item belongs to the Collaborative Stage (CS) Data Collection System which is based on the AJCC Cancer Staging Manual, 6th and 7th editions. AJCC T, N, M plus descriptors and AJCC staging components are composed of combinations of characters, numbers, and/or special characters and can be of varying lengths. To more easily handle these components a numeric code was assigned to each unique category for each T, N, M plus the post-treatment AJCC 7th edition “T” and is derived from CS coded fields using the CS algorithm. This numeric representation is referred to as the “storage” code and its associated label is referred to as the “display” code. Explanations of the “storage” codes and their corresponding “display” codes can be found in the most current version of the Collaborative Stage Data Collection System (https://cancerstaging.org/cstage/Pages/default.aspx).13The display code should be used for display on the screen and in reports.The implementation of this data item has been deferred indefinitely. "
3460,derivedPrerx7M,Tumor,"This data item belongs to the Collaborative Stage (CS) Data Collection System which is based on the AJCC Cancer Staging Manual, 6th and 7th editions. AJCC T, N, M plus descriptors and AJCC staging components are composed of combinations of characters, numbers, and/or special characters and can be of varying lengths. To more easily handle these components a numeric code was assigned to each unique category for each T, N, M plus descriptors and AJCC stage for 6th and 7th editions. This field contains the numeric representation for the pre-treatment AJCC 7th edition “M” and is derived from CS coded fields using the CS algorithm. This numeric representation is referred to as the “storage” code and its associated label is referred to as the “display” code. Explanations of the “storage” codes and their corresponding “display” codes can be found in the most current version of the Collaborative Stage Data Collection System (https://cancerstaging.org/cstage/Pages/default.aspx).13The display code should be used for display on the screen and in reports. The implementation of this data item has been deferred indefinitely. "
3462,derivedPrerx7MDescrip,Tumor,"This data item belongs to the Collaborative Stage (CS) Data Collection System which is based on the AJCC Cancer Staging Manual, 6th and 7th editions. AJCC T, N, M plus descriptors and AJCC staging components are composed of combinations of characters, numbers, and/or special characters and can be of varying lengths. To more easily handle these components a numeric code was assigned to each unique category for each T, N, M plus descriptors and AJCC stage for 6th and 7th editions. This field contains the numeric representation for pre-treatment AJCC 7th edition “M Descriptor” and is derived from CS coded fields using the CS algorithm. This numeric representation is referred to as the “storage” code and its associated label is referred to as the “display” code. Explanations of the “storage” codes and their corresponding “display” codes can be found in the most current version of the Collaborative Stage Data Collection System (https://cancerstaging.org/cstage/Pages/default.aspx).13The display code should be used for display on the screen and in reports. The implementation of this data item has been deferred indefinitely. "
3450,derivedPrerx7N,Tumor,"This data item belongs to the Collaborative Stage (CS) Data Collection System which is based on the AJCC Cancer Staging Manual, 6th and 7th editions. AJCC T, N, M plus descriptors and AJCC staging components are composed of combinations of characters, numbers, and/or special characters and can be of varying lengths. To more easily handle these components a numeric code was assigned to each unique category for each T, N, M plus descriptors and AJCC stage for 6th and 7th editions. This field contains the numeric representation for the pre-treatment AJCC 7th edition “N” and is derived from CS coded fields using the CS algorithm. This numeric representation is referred to as the “storage” code and its associated label is referred to as the “display” code. Explanations of the “storage” codes and their corresponding “display” codes can be found in the most current version of the Collaborative Stage Data Collection System (https://cancerstaging.org/cstage/Pages/default.aspx).13The display code should be used for display on the screen and in reports. The implementation of this data item has been deferred indefinitely. "
3452,derivedPrerx7NDescrip,Tumor,"This data item belongs to the Collaborative Stage (CS) Data Collection System which is based on the AJCC Cancer Staging Manual, 6th and 7th editions. AJCC T, N, M plus descriptors and AJCC staging components are composed of combinations of characters, numbers, and/or special characters and can be of varying lengths. To more easily handle these components a numeric code was assigned to each unique category for each T, N, M plus descriptors and AJCC stage for 6th and 7th editions. This field contains the numeric representation for the pre-treatment AJCC 7th edition “N Descriptor” and is derived from CS coded fields using the CS algorithm. This numeric representation is referred to as the “storage” code and its associated label is referred to as the “display” code. Explanations of the “storage” codes and their corresponding “display” codes can be found in the most current version of the Collaborative Stage Data Collection System (https://cancerstaging.org/cstage/Pages/default.aspx).13The display code should be used for display on the screen and in reports. The implementation of this data item has been deferred indefinitely. "
3470,derivedPrerx7StageGrp,Tumor,"This data item belongs to the Collaborative Stage (CS) Data Collection System which is based on the AJCC Cancer Staging Manual, 6th and 7th editions. AJCC T, N, M plus descriptors and AJCC staging components are composed of combinations of characters, numbers, and/or special characters and can be of varying lengths. To more easily handle these components a numeric code was assigned to each unique category for each T, N, M plus descriptors and AJCC stage for 6th and 7th editions. This field contains the numeric representation for the pre-treatment AJCC 7th edition “Stage Group” and is derived from CS coded fields using the CS algorithm. This numeric representation is referred to as the “storage” code and its associated label is referred to as the “display” code. Explanations of the “storage” codes and their corresponding “display” codes can be found in the most current version of the Collaborative Stage Data Collection System (https://cancerstaging.org/cstage/Pages/default.aspx).13The display code should be used for display on the screen and in reports. The implementation of this data item has been deferred indefinitely. "
3440,derivedPrerx7T,Tumor,"This data item belongs to the Collaborative Stage (CS) Data Collection System which is based on the AJCC Cancer Staging Manual, 6th and 7th editions. AJCC T, N, M plus descriptors and AJCC staging components are composed of combinations of characters, numbers, and/or special characters and can be of varying lengths. To more easily handle these components a numeric code was assigned to each unique category for each T, N, M plus descriptors and AJCC stage for 6th and 7th editions. This field contains the numeric representation for the pre-treatment AJCC 7th edition “T” and is derived from CS coded fields using the CS algorithm. This numeric representation is referred to as the “storage” code and its associated label is referred to as the “display” code. Explanations of the “storage” codes and their corresponding “display” codes can be found in the the most current version of the Collaborative Stage Data Collection System (https://cancerstaging.org/cstage/Pages/default.aspx).13The display code should be used for display on the screen and in reports. The implementation of this data item has been deferred indefinitely. "
3442,derivedPrerx7TDescrip,Tumor,"This data item belongs to the Collaborative Stage (CS) Data Collection System which is based on the AJCC Cancer Staging Manual, 6th and 7th editions. AJCC T, N, M plus descriptors and AJCC staging components are composed of combinations of characters, numbers, and/or special characters and can be of varying lengths. To more easily handle these components a numeric code was assigned to each unique category for each T, N, M plus descriptors and AJCC stage for 6th and 7th editions. This field contains the numeric representation for the pre-treatment AJCC 7th edition “T Descriptor” and is derived from CS coded fields using the CS algorithm. This numeric representation is referred to as the “storage” code and its associated label is referred to as the “display” code. Explanations of the “storage” codes and their corresponding “display” codes can be found in the most current version of the Collaborative Stage Data Collection System (https://cancerstaging.org/cstage/Pages/default.aspx).13The display code should be used for display on the screen and in reports. The implementation of this data item has been deferred indefinitely. "
3610,derivedSeerClinStgGrp,Tumor,This data item is needed to store the results of the derived algorithmic calculation of Derived SEER Clinical Stage Group.
3626,derivedSeerCmbMSrc,Tumor,This item is needed to store the results of the source information selected for the derived algorithmic calculation of Derived SEER Combined M [3620].
3624,derivedSeerCmbNSrc,Tumor,This item is needed to store the results of the source information selected for the derived algorithmic calculation of Derived SEER Combined N [3618].
3614,derivedSeerCmbStgGrp,Tumor,This data item is needed to store the results of the derived algorithmic calculation of Derived SEER Clinical Stage Group.
3622,derivedSeerCmbTSrc,Tumor,This item is needed to store the results of the source information selected for the derived algorithmic calculation of Derived SEER Combined T [3616].
3620,derivedSeerCombinedM,Tumor,"This item is used to store the results of the source information selected for the derived algorithmic calculation of Combined T, N, and M."
3618,derivedSeerCombinedN,Tumor,"This item is used to store the results of the source information  selected for the derived algorithmic calculation of Combined T, N, and  M."
3616,derivedSeerCombinedT,Tumor,This new data item is needed to store the results of the derived algorithmic calculation of Derived SEER Combined T.
3605,derivedSeerPathStgGrp,Tumor,This data item is needed to store the results of the derived algorithmic calculation of Derived SEER Pathologic Stage Group.
3010,derivedSs1977,Tumor,This item is the derived “SEER Summary Stage 1977” from the CS algorithm (or EOD codes) effective with 2004 diagnosis.  
3040,derivedSs1977Flag,Tumor,Flag to indicate whether the derived SEER Summary Stage 1977 was derived from CS or EOD codes. 
3020,derivedSs2000,Tumor,This item is the derived “SEER Summary Stage 2000” from the CS algorithm (or EOD codes) effective with 2004 diagnosis.
3050,derivedSs2000Flag,Tumor,Flag to indicate whether the derived SEER Summary Stage 2000 was derived from CS or EOD codes.
762,derivedSummaryStage2018,Tumor,"Derived Summary Stage 2018 is derived using the EOD data collection system (EOD Primary Tumor [772], EOD Regional Nodes [774] and EOD Mets [776]) algorithm. Other data items may be included in the derivation process. Effective for cases diagnosed 1/1/2018+."
490,diagnosticConfirmation,Tumor,Code for the best method of diagnostic confirmation of the cancer being reported at any time in the patient’s history. 
2200,diagnosticProc7387,Tumor,"Data item required by SEER for tumors of certain sites for the years 1973-87. This item is no longer collected. See Appendix D of the 

SEER Program Code Manual for details. "
2508,ehrReporting,Tumor,"Cancer case reports transmitted from electronic health records (EHR) in the HL7 CDA (Clinical Document Architecture) format must adhere to specifications and requirements as defined by the Implementation Guide (IG) which has been adopted by the Office of the National Coordinator of for Health Information Technology. The IG specifies collection and transmission of cancer diagnosis fields including (but not limited to) primary site, histology, behavior, diagnosis date, and staging elements. The IG also specifies transmission of other data documented in the EHR as part of the care of the patient which are also standardized, but are not routinely collected by cancer registries in the same way or as discrete items. Examples of these are procedures, medications, smoking, and vital signs (i.e., height, weight, BMI). Currently, software tools such as CDC’s eMaRC Plus parse some EHR elements and map or translate these fields to NAACCR items. However, some data are not able to be mapped to discrete items. This new proposed field will allow central cancer registries to collect information from the EHR and map these data in the NAACCR record layout so that they can be included in the central registry database and be available to enhance surveillance data."
776,eodMets,Tumor,EOD Mets is part of the EOD 2018 data collection system and is used to classify the distant site(s) of metastatic involvement at time of diagnosis. See also EOD Primary Tumor [772] and EOD Regional Nodes [774]. Effective for cases diagnosed 1/1/2018+.
772,eodPrimaryTumor,Tumor,"EOD Primary Tumor is part of the EOD 2018 data collection system and is used to classify contiguous growth (extension) of the primary tumor within the organ of origin or its direct extension into neighboring organs. See also EOD Regional Nodes [774] and EOD Mets [776]. Effective for cases diagnosed 1/1/2018+.






















"
774,eodRegionalNodes,Tumor,EOD Regional Nodes is part of the EOD 2018 data collection system and is used to classify the regional lymph nodes involved with cancer at the time of diagnosis. See also EOD Primary Tumor [772] and EOD Mets [776]. Effective for cases diagnosed 1/1/2018+.
790,eodExtension,Tumor,"Part of the 10-digit EOD [779]. Detailed site-specific codes for anatomic EOD used by SEER for tumors diagnosed from January 1, 1988, through December 31, 2003.Codes were revised effective January 1, 1998, to reflect changes in the AJCC Cancer Staging Manual, Fifth Edition."
800,eodExtensionProstPath,Tumor,"Part of the 10-digit EOD [779]. Detailed site-specific codes for anatomic EOD used by SEER for tumors diagnosed from January 1, 1988, through December 31, 2003. Codes were revised effective January 1, 1998, to reflect changes in the AJCC Cancer Staging Manual, Fifth Edition."
810,eodLymphNodeInvolv,Tumor,"Part of the 10-digit EOD [779]. Detailed site-specific codes for anatomic EOD used by SEER for tumors diagnosed from January 1, 1988, through December 31, 2003.Codes were revised effective January 1, 1998, to reflect changes in the AJCC Cancer Staging Manual, Fifth Edition. "
840,eodOld13Digit,Tumor,"Detailed site-specific codes for EOD used by SEER for selected sites of cancer for tumors diagnosed 1973-1982, except death-certificate-only cases. "
850,eodOld2Digit,Tumor,"Site-specific codes for EOD used by SEER for tumors diagnosed from January 1, 1973, to December 31, 1982, for cancer sites that did not have a 13-digit scheme see EOD--Old 13 Digit [840]. "
860,eodOld4Digit,Tumor,"Codes for site-specific EOD used by SEER for tumors diagnosed from January 1, 1983, to December 31, 1987, for all cancer sites. "
780,eodTumorSize,Tumor,"Part of the 10-digit EOD [779]. Detailed site-specific codes for anatomic EOD used by SEER for tumors diagnosed from January 1, 1988, through December 31, 2003.This field was included in the CoC dataset, separate from EOD.Codes were revised effective January 1, 1998, to reflect changes in the AJCC Cancer Staging Manual, Fifth Edition."
3829,esophagusAndEgjTumorEpicenter,Tumor,"Esophagus and Esophagogastric Junction (EGJ), Squamous Cell (including adenosquamous), Tumor Location refers to the position of the epicenter of the tumor in the esophagus."
3826,estrogenReceptorPercentPositiveOrRange,Tumor,"Estrogen Receptor, Percent Positive Range is the percent of cells staining estrogen receptor positive by IHC."
3827,estrogenReceptorSummary,Tumor,ER (Estrogen Receptor) Summary is a summary of results of the estrogen receptor (ER) assay.
3828,estrogenReceptorTotalAllredScore,Tumor,"Estrogen Receptor, Total Allred Score is based on the percentage of cells that stain positive by IHC for estrogen receptor (ER) and the intensity of that staining."
779,extentOfDisease10Dig,Tumor,"The name for a group of subfields that contain detailed site-specific codes for the anatomic EOD. SEER uses the subfields for tumors diagnosed from January 1, 1988, through December 31, 2003.Group names appear only in the data dictionary and in Appendix E.SubfieldsEOD--Tumor Size [780]EOD--Extension [790]EOD--Extension Prost Path [800]EOD--Lymph Node Involv [810]Regional Nodes Positive [820]Regional Nodes Examined [830] "
3830,extranodalExtensionClin,Tumor,"Extranodal Extension (ENE) Clinical is defined as ""the extension of a nodal metastasis through the lymph node capsule into adjacent tissue"" during the diagnostic workup. This data item defines clinical ENE for sites other than Head and Neck."
3831,extranodalExtensionHeadAndNeckClinical,Tumor,"Extranodal extension (ENE) is defined as ""the extension of a nodal metastasis through the lymph node capsule into adjacent tissue"" and is a prognostic factor for most head and neck tumors. This data item pertains to clinical staging extension."
3832,extranodalExtensionHeadAndNeckPathological,Tumor,"Extranodal extension (ENE) is defined as ""the extension of a nodal metastasis through the lymph node capsule into adjacent tissue"" and is a prognostic factor for most head and neck tumors. This data item pertains to pathological staging extension."
3833,extranodalExtensionPath,Tumor," Extranodal Extension Pathological is defined as ""the extension of a nodal metastasis through the lymph node capsule into adjacent tissue"" identified as part of the surgical resection. This data item defines pathological ENE for sites other than Head and Neck. "
3834,extravascularMatrixPatterns,Tumor,"Extravascular Matrix Patterns, the presence of loops and networks in extracellular matrix patterns, is a prognostic factor for uveal melanoma."
360,,,"The NAACCR UDSC retired this data item in Version 12, as of January 1, 2010."
3835,fibrosisScore,Tumor,"Fibrosis Score, the degree of fibrosis of the liver based on pathological examination, is a prognostic factor for liver cancer."
3836,figoStage,Tumor,Federation Internationale de Gynecologie et d'Obstetrique (FIGO) is a staging system for female reproductive cancers.
35,,,"The NAACCR UDSC retired this data item in Version 12.2, as of January 1, 2012."
1500,,,"The NAACCR UDSC retired this data item in Version 13, as of January 1, 2013."
2440,followingRegistry,Tumor,Records the FIN of the registry responsible for following the patient. 
1842,followUpContactCity,Tumor,"Name of the city of the follow-up contact’s current usual residence. If the patient has multiple tumors, the follow-up contact city of residence should be the same for all tumors. "
1847,followupContactCountry,Tumor,"Country code for the address of follow-up contact’s current usual residence. If the patient has multiple tumors, the country of follow-up contact residence should be the same for all tumors. This data item became part of the NAACCR transmission record effective with Volume II, Version 13 in order to include country and state for each geographic item and to use interoperable codes.  It supplements the item FOLLOW UP CONTACT--STATE [1844]. "
2394,followUpContactName,Tumor,"First and last name, in natural order, of a person, other than the patient or a physician, who can be contacted to obtain follow-up information for the patient. If the patient has multiple tumors, Follow-up Contact-Name should be the same for all tumors. "
2392,followUpContactNost,Tumor,"The number and street address or the rural mailing address of the follow-up contact’s current usual residence. This can be used to generate a follow-up inquiry, and must correspond to the other fields in the follow-up contact address. If the patient has multiple tumors, Follow-Up Contact--No&St should be the same for all tumors.U.S. addresses should conform to the USPS Postal Addressing Standards. These standards are referenced in USPS Pub. 28, November 2000, Postal Addressing Standards. The current USPS Pub. 28 may be found and downloaded from the following website: http://pe.usps.gov/cpim/ftp/pubs/Pub28/pub28.pdf.Canadian addresses should conform to the Canada Postal Guide. The current Canadian Postal Address standards may be found at the following website: http://www.canadapost.ca. "
1846,followUpContactPostal,Tumor,"Postal code for the address of the follow-up contact’s current usual residence. If the patient has multiple tumors, the Follow-up Contact-Postal should be the same for all tumors. For U.S. residents, use either the 5-digit or the extended 9-digit ZIP code. Blanks follow the 5-digit code. For Canadian residents, use the 6-character, alphanumeric postal code. Blanks follow the 6-character code. When available, enter postal code for other countries. "
1844,followUpContactState,Tumor,"USPS abbreviation for the state (including U.S. territories, commonwealths, or possessions), or Canada Post abbreviation for the Canadian province/territory of the follow-up contact’s current usual residence. If the patient has multiple tumors, the follow-up contact state should be the same for all tumors. Effective with NAACCR Volume II, Version 13, a new data item, FollowUp Contact--Country [1847] was added to the standard transmission record layout. The UDS Committee expects the new item to supplement the use of Follow-Up Contact--State [1844]. "
2393,followUpContactSuppl,Tumor,"This data item provides the ability to store additional address information such as the name of a place or facility, a nursing home, or the name of an apartment complex. It can be used to generate a follow-up inquiry, and must correspond to the other fields in the follow-up contact address. If the patient has multiple tumors, Follow-Up Contact--Suppl should be the same for all tumors. "
1790,followUpSource,Tumor,Records the source from which the latest follow-up information was obtained. 
1791,followUpSourceCentral,Tumor,"This field is created by the central registry. It records the source from which the consolidated information was obtained on a patient's vital status and date of last contact. Follow-up Source Central would be updated when new or more reliable information becomes available. However, when the existing date of last contact/vital status is deemed to be more reliable than newly obtained information, then neither the date of last contact/vital status nor the follow-up source central would be changed. "
2114,,,"Reserved for future use for storing date of a central registry processing milestone. No standards have been adopted for this item. The NAACCR UDSC retired this data item in Version 10.1, as of January 1, 2004."
2115,,,"Reserved for future use for storing date of a central registry processing milestone. No standards have been adopted for this item. The NAACCR UDSC retired this data item in Version 10.1, as of January 1, 2004."
