c_hlevel,c_fullname,c_basecode,c_name,c_visualattributes,m_applied_path,c_tooltip,c_synonym_cd,update_date,sourcesystem_cd,c_dimcode,c_operator,c_columndatatype,c_columnname,c_tablename,c_facttablecolumn
5,\i2b2\naaccr\csterms\CorpusAdenosarcoma\CS Site-Specific Factor 3\988\,CS|CorpusAdenosarcoma|3:988,988: Not applicable:  Information not collected for this case,LAE,@,b'',N,,,\i2b2\naaccr\csterms\CorpusAdenosarcoma\CS Site-Specific Factor 3\988\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\CorpusAdenosarcoma\CS Site-Specific Factor 3\999\,CS|CorpusAdenosarcoma|3:999,999: Unknown if pelvic nodes are positive ,LAE,@,b'',N,,,\i2b2\naaccr\csterms\CorpusAdenosarcoma\CS Site-Specific Factor 3\999\,like,@,concept_path,concept_dimension,concept_cd
4,\i2b2\naaccr\csterms\CorpusAdenosarcoma\CS Site-Specific Factor 3\,CS|CorpusAdenosarcoma|3:,03: Number of Positive Pelvic Nodes,FAE,@,b'1 - 89 pelvic nodes positive  (Exact number of nodes positive)',N,,,\i2b2\naaccr\csterms\CorpusAdenosarcoma\CS Site-Specific Factor 3\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\CorpusAdenosarcoma\CS Site-Specific Factor 4\000\,CS|CorpusAdenosarcoma|4:000,000: No pelvic lymph nodes examined,LAE,@,b'',N,,,\i2b2\naaccr\csterms\CorpusAdenosarcoma\CS Site-Specific Factor 4\000\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\CorpusAdenosarcoma\CS Site-Specific Factor 4\090\,CS|CorpusAdenosarcoma|4:090,090: 90 or more pelvic lymph nodes examined,LAE,@,b'',N,,,\i2b2\naaccr\csterms\CorpusAdenosarcoma\CS Site-Specific Factor 4\090\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\CorpusAdenosarcoma\CS Site-Specific Factor 4\095\,CS|CorpusAdenosarcoma|4:095,"095: No pelvic lymph nodes removed, but aspiration or core biopsy of pelvic lymph nodes performed",LAE,@,b'',N,,,\i2b2\naaccr\csterms\CorpusAdenosarcoma\CS Site-Specific Factor 4\095\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\CorpusAdenosarcoma\CS Site-Specific Factor 4\096\,CS|CorpusAdenosarcoma|4:096,"096: Pelvic lymph node removal documented as a sampling, but number of nodes unknown/not stated",LAE,@,b'',N,,,\i2b2\naaccr\csterms\CorpusAdenosarcoma\CS Site-Specific Factor 4\096\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\CorpusAdenosarcoma\CS Site-Specific Factor 4\097\,CS|CorpusAdenosarcoma|4:097,"097: Pelvic lymph node removal documented as a dissection, but number of nodes unknown/not stated",LAE,@,b'',N,,,\i2b2\naaccr\csterms\CorpusAdenosarcoma\CS Site-Specific Factor 4\097\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\CorpusAdenosarcoma\CS Site-Specific Factor 4\098\,CS|CorpusAdenosarcoma|4:098,"098: Pelvic lymph nodes surgically removed, but number of  nodes unknown/not stated and not documented as a sampling or dissection",LAE,@,b'',N,,,\i2b2\naaccr\csterms\CorpusAdenosarcoma\CS Site-Specific Factor 4\098\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\CorpusAdenosarcoma\CS Site-Specific Factor 4\888\,CS|CorpusAdenosarcoma|4:888,888: OBSOLETE DATA CONVERTED V0200,LAE,@,b'',N,,,\i2b2\naaccr\csterms\CorpusAdenosarcoma\CS Site-Specific Factor 4\888\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\CorpusAdenosarcoma\CS Site-Specific Factor 4\988\,CS|CorpusAdenosarcoma|4:988,988: Not applicable:  Information not collected for this case,LAE,@,b'',N,,,\i2b2\naaccr\csterms\CorpusAdenosarcoma\CS Site-Specific Factor 4\988\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\CorpusAdenosarcoma\CS Site-Specific Factor 4\999\,CS|CorpusAdenosarcoma|4:999,999: Unknown if pelvic nodes examined; ,LAE,@,b'',N,,,\i2b2\naaccr\csterms\CorpusAdenosarcoma\CS Site-Specific Factor 4\999\,like,@,concept_path,concept_dimension,concept_cd
4,\i2b2\naaccr\csterms\CorpusAdenosarcoma\CS Site-Specific Factor 4\,CS|CorpusAdenosarcoma|4:,04: Number of Examined Pelvic Nodes,FAE,@,b'1 - 89 pelvic lymph nodes examined  (Exact number of pelvic lymph nodes examined)',N,,,\i2b2\naaccr\csterms\CorpusAdenosarcoma\CS Site-Specific Factor 4\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\CorpusAdenosarcoma\CS Site-Specific Factor 5\000\,CS|CorpusAdenosarcoma|5:000,000: All para-aortic lymph nodes examined negative,LAE,@,b'',N,,,\i2b2\naaccr\csterms\CorpusAdenosarcoma\CS Site-Specific Factor 5\000\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\CorpusAdenosarcoma\CS Site-Specific Factor 5\090\,CS|CorpusAdenosarcoma|5:090,090: 90 or more para-aortic lymph nodes positive,LAE,@,b'',N,,,\i2b2\naaccr\csterms\CorpusAdenosarcoma\CS Site-Specific Factor 5\090\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\CorpusAdenosarcoma\CS Site-Specific Factor 5\095\,CS|CorpusAdenosarcoma|5:095,095: Positive aspiration or core biopsy of para-aortic lymph node(s),LAE,@,b'',N,,,\i2b2\naaccr\csterms\CorpusAdenosarcoma\CS Site-Specific Factor 5\095\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\CorpusAdenosarcoma\CS Site-Specific Factor 5\097\,CS|CorpusAdenosarcoma|5:097,"097: Positive para-aortic lymph nodes, number not specified",LAE,@,b'',N,,,\i2b2\naaccr\csterms\CorpusAdenosarcoma\CS Site-Specific Factor 5\097\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\CorpusAdenosarcoma\CS Site-Specific Factor 5\098\,CS|CorpusAdenosarcoma|5:098,098: No para-aortic lymph nodes examined,LAE,@,b'',N,,,\i2b2\naaccr\csterms\CorpusAdenosarcoma\CS Site-Specific Factor 5\098\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\CorpusAdenosarcoma\CS Site-Specific Factor 5\888\,CS|CorpusAdenosarcoma|5:888,888: OBSOLETE DATA CONVERTED V0200,LAE,@,b'',N,,,\i2b2\naaccr\csterms\CorpusAdenosarcoma\CS Site-Specific Factor 5\888\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\CorpusAdenosarcoma\CS Site-Specific Factor 5\988\,CS|CorpusAdenosarcoma|5:988,988: Not applicable:  Information not collected for this case,LAE,@,b'',N,,,\i2b2\naaccr\csterms\CorpusAdenosarcoma\CS Site-Specific Factor 5\988\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\CorpusAdenosarcoma\CS Site-Specific Factor 5\999\,CS|CorpusAdenosarcoma|5:999,999: Unknown if para-aortic lymph nodes are positive,LAE,@,b'',N,,,\i2b2\naaccr\csterms\CorpusAdenosarcoma\CS Site-Specific Factor 5\999\,like,@,concept_path,concept_dimension,concept_cd
4,\i2b2\naaccr\csterms\CorpusAdenosarcoma\CS Site-Specific Factor 5\,CS|CorpusAdenosarcoma|5:,05: Number of Positive Para-Aortic Nodes,FAE,@,b'1-89 para-aortic lymph nodes positive (Exact number of nodes positive)',N,,,\i2b2\naaccr\csterms\CorpusAdenosarcoma\CS Site-Specific Factor 5\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\CorpusAdenosarcoma\CS Site-Specific Factor 6\000\,CS|CorpusAdenosarcoma|6:000,000: No para-aortic nodes examined.,LAE,@,b'',N,,,\i2b2\naaccr\csterms\CorpusAdenosarcoma\CS Site-Specific Factor 6\000\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\CorpusAdenosarcoma\CS Site-Specific Factor 6\090\,CS|CorpusAdenosarcoma|6:090,090: 90 or more para-aortic nodes examined.,LAE,@,b'',N,,,\i2b2\naaccr\csterms\CorpusAdenosarcoma\CS Site-Specific Factor 6\090\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\CorpusAdenosarcoma\CS Site-Specific Factor 6\095\,CS|CorpusAdenosarcoma|6:095,"095: No para-aortic nodes removed, but aspiration or core biopsy of para-aortic nodes performed.",LAE,@,b'',N,,,\i2b2\naaccr\csterms\CorpusAdenosarcoma\CS Site-Specific Factor 6\095\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\CorpusAdenosarcoma\CS Site-Specific Factor 6\096\,CS|CorpusAdenosarcoma|6:096,"096: Para-aortic lymph node removal documented as a sampling, but number of nodes unknown/not stated.",LAE,@,b'',N,,,\i2b2\naaccr\csterms\CorpusAdenosarcoma\CS Site-Specific Factor 6\096\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\CorpusAdenosarcoma\CS Site-Specific Factor 6\097\,CS|CorpusAdenosarcoma|6:097,"097: Para-aortic lymph node removal documented as a dissection, but number of nodes unknown/not stated.",LAE,@,b'',N,,,\i2b2\naaccr\csterms\CorpusAdenosarcoma\CS Site-Specific Factor 6\097\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\CorpusAdenosarcoma\CS Site-Specific Factor 6\098\,CS|CorpusAdenosarcoma|6:098,"098: Para-aortic lymph nodes surgically removed, but the number of lymph nodes unknown/not stated and not documented as a sampling or dissection",LAE,@,b'',N,,,\i2b2\naaccr\csterms\CorpusAdenosarcoma\CS Site-Specific Factor 6\098\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\CorpusAdenosarcoma\CS Site-Specific Factor 6\888\,CS|CorpusAdenosarcoma|6:888,888: OBSOLETE DATA CONVERTED V0200,LAE,@,b'',N,,,\i2b2\naaccr\csterms\CorpusAdenosarcoma\CS Site-Specific Factor 6\888\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\CorpusAdenosarcoma\CS Site-Specific Factor 6\988\,CS|CorpusAdenosarcoma|6:988,988: Not applicable:  Information not collected for this case,LAE,@,b'',N,,,\i2b2\naaccr\csterms\CorpusAdenosarcoma\CS Site-Specific Factor 6\988\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\CorpusAdenosarcoma\CS Site-Specific Factor 6\999\,CS|CorpusAdenosarcoma|6:999,999: Unknown if nodes examined; ,LAE,@,b'',N,,,\i2b2\naaccr\csterms\CorpusAdenosarcoma\CS Site-Specific Factor 6\999\,like,@,concept_path,concept_dimension,concept_cd
4,\i2b2\naaccr\csterms\CorpusAdenosarcoma\CS Site-Specific Factor 6\,CS|CorpusAdenosarcoma|6:,06: Number of Examined Para-Aortic Nodes,FAE,@,b'1 - 89 para-aortic nodes examined  (Exact number of para-aortic lymph nodes examined).',N,,,\i2b2\naaccr\csterms\CorpusAdenosarcoma\CS Site-Specific Factor 6\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\CorpusAdenosarcoma\CS Site-Specific Factor 7\001\,CS|CorpusAdenosarcoma|7:001,001: 5% or less of a non-squamous or non-morular solid growth pattern (Grade 1),LAE,@,b'',N,,,\i2b2\naaccr\csterms\CorpusAdenosarcoma\CS Site-Specific Factor 7\001\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\CorpusAdenosarcoma\CS Site-Specific Factor 7\002\,CS|CorpusAdenosarcoma|7:002,002: 6% to 50% of a non-squamous or non-morular solid growth pattern (Grade 2),LAE,@,b'',N,,,\i2b2\naaccr\csterms\CorpusAdenosarcoma\CS Site-Specific Factor 7\002\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\CorpusAdenosarcoma\CS Site-Specific Factor 7\003\,CS|CorpusAdenosarcoma|7:003,003: More than 50% of a non-squamous or non-morular solid growth pattern (Grade 3),LAE,@,b'',N,,,\i2b2\naaccr\csterms\CorpusAdenosarcoma\CS Site-Specific Factor 7\003\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\CorpusAdenosarcoma\CS Site-Specific Factor 7\987\,CS|CorpusAdenosarcoma|7:987,987: Not applicable:  Not an adenocarcinoma morphology,LAE,@,b'',N,,,\i2b2\naaccr\csterms\CorpusAdenosarcoma\CS Site-Specific Factor 7\987\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\CorpusAdenosarcoma\CS Site-Specific Factor 7\988\,CS|CorpusAdenosarcoma|7:988,988: Not applicable: Information not collected for this case,LAE,@,b'',N,,,\i2b2\naaccr\csterms\CorpusAdenosarcoma\CS Site-Specific Factor 7\988\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\CorpusAdenosarcoma\CS Site-Specific Factor 7\999\,CS|CorpusAdenosarcoma|7:999,999: Unknown or no information,LAE,@,b'',N,,,\i2b2\naaccr\csterms\CorpusAdenosarcoma\CS Site-Specific Factor 7\999\,like,@,concept_path,concept_dimension,concept_cd
4,\i2b2\naaccr\csterms\CorpusAdenosarcoma\CS Site-Specific Factor 7\,CS|CorpusAdenosarcoma|7:,07: Percentage of Non-Endometrioid Cell Type in Mixed Histology Tumors,FAE,@,b'',N,,,\i2b2\naaccr\csterms\CorpusAdenosarcoma\CS Site-Specific Factor 7\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\CorpusAdenosarcoma\CS Site-Specific Factor 8\000\,CS|CorpusAdenosarcoma|8:000,000: Omentectomy not performed during first course surgery,LAE,@,b'',N,,,\i2b2\naaccr\csterms\CorpusAdenosarcoma\CS Site-Specific Factor 8\000\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\CorpusAdenosarcoma\CS Site-Specific Factor 8\010\,CS|CorpusAdenosarcoma|8:010,010: Omentectomy performed during first course surgery,LAE,@,b'',N,,,\i2b2\naaccr\csterms\CorpusAdenosarcoma\CS Site-Specific Factor 8\010\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\CorpusAdenosarcoma\CS Site-Specific Factor 8\988\,CS|CorpusAdenosarcoma|8:988,988: Not applicable: Information not collected for this case,LAE,@,b'',N,,,\i2b2\naaccr\csterms\CorpusAdenosarcoma\CS Site-Specific Factor 8\988\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\CorpusAdenosarcoma\CS Site-Specific Factor 8\998\,CS|CorpusAdenosarcoma|8:998,998: No surgery performed as part of the first course of treatment,LAE,@,b'',N,,,\i2b2\naaccr\csterms\CorpusAdenosarcoma\CS Site-Specific Factor 8\998\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\CorpusAdenosarcoma\CS Site-Specific Factor 8\999\,CS|CorpusAdenosarcoma|8:999,999: Unknown or no information,LAE,@,b'',N,,,\i2b2\naaccr\csterms\CorpusAdenosarcoma\CS Site-Specific Factor 8\999\,like,@,concept_path,concept_dimension,concept_cd
4,\i2b2\naaccr\csterms\CorpusAdenosarcoma\CS Site-Specific Factor 8\,CS|CorpusAdenosarcoma|8:,08: Omentectomy,FAE,@,b'',N,,,\i2b2\naaccr\csterms\CorpusAdenosarcoma\CS Site-Specific Factor 8\,like,@,concept_path,concept_dimension,concept_cd
3,\i2b2\naaccr\csterms\GenitalMaleOther\,," Other and Unspecified Male Genital Organs (excluding Scrotum, Kaposi Sarcoma and Lymphoma)",FAE,@,b'',N,,,\i2b2\naaccr\csterms\GenitalMaleOther\,like,@,concept_path,concept_dimension,concept_cd
3,\i2b2\naaccr\csterms\Brain\,,Brain and Cerebral Meninges,FAE,@,b'',N,,,\i2b2\naaccr\csterms\Brain\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\Brain\CS Site-Specific Factor 1\010\,CS|Brain|1:010,010: Grade I,LAE,@,b'',N,,,\i2b2\naaccr\csterms\Brain\CS Site-Specific Factor 1\010\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\Brain\CS Site-Specific Factor 1\020\,CS|Brain|1:020,020: Grade II,LAE,@,b'',N,,,\i2b2\naaccr\csterms\Brain\CS Site-Specific Factor 1\020\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\Brain\CS Site-Specific Factor 1\030\,CS|Brain|1:030,030: Grade III,LAE,@,b'',N,,,\i2b2\naaccr\csterms\Brain\CS Site-Specific Factor 1\030\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\Brain\CS Site-Specific Factor 1\040\,CS|Brain|1:040,040: Grade IV,LAE,@,b'',N,,,\i2b2\naaccr\csterms\Brain\CS Site-Specific Factor 1\040\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\Brain\CS Site-Specific Factor 1\988\,CS|Brain|1:988,988: Not applicable: Information not collected for this case,LAE,@,b'',N,,,\i2b2\naaccr\csterms\Brain\CS Site-Specific Factor 1\988\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\Brain\CS Site-Specific Factor 1\998\,CS|Brain|1:998,998: No histologic examination of primary site,LAE,@,b'',N,,,\i2b2\naaccr\csterms\Brain\CS Site-Specific Factor 1\998\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\Brain\CS Site-Specific Factor 1\999\,CS|Brain|1:999,999: Not documented in medical record,LAE,@,b'',N,,,\i2b2\naaccr\csterms\Brain\CS Site-Specific Factor 1\999\,like,@,concept_path,concept_dimension,concept_cd
4,\i2b2\naaccr\csterms\Brain\CS Site-Specific Factor 1\,CS|Brain|1:,01: World Health Organization (WHO) Grade Classification,FAE,@,b'',N,,,\i2b2\naaccr\csterms\Brain\CS Site-Specific Factor 1\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\Brain\CS Site-Specific Factor 2\000\,CS|Brain|2:000,000: 0% Labeling index (LI) ,LAE,@,b'',N,,,\i2b2\naaccr\csterms\Brain\CS Site-Specific Factor 2\000\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\Brain\CS Site-Specific Factor 2\200\,CS|Brain|2:200,200: LI stated as normal and no percentage provided,LAE,@,b'',N,,,\i2b2\naaccr\csterms\Brain\CS Site-Specific Factor 2\200\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\Brain\CS Site-Specific Factor 2\300\,CS|Brain|2:300,300: LI stated as slightly elevated and no percentage provided,LAE,@,b'',N,,,\i2b2\naaccr\csterms\Brain\CS Site-Specific Factor 2\300\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\Brain\CS Site-Specific Factor 2\400\,CS|Brain|2:400,400: LI stated as elevated and no percentage provided,LAE,@,b'',N,,,\i2b2\naaccr\csterms\Brain\CS Site-Specific Factor 2\400\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\Brain\CS Site-Specific Factor 2\888\,CS|Brain|2:888,888: OBSOLETE DATA CONVERTED V0200,LAE,@,b'',N,,,\i2b2\naaccr\csterms\Brain\CS Site-Specific Factor 2\888\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\Brain\CS Site-Specific Factor 2\988\,CS|Brain|2:988,988: Not applicable:  Information not collected for this case,LAE,@,b'',N,,,\i2b2\naaccr\csterms\Brain\CS Site-Specific Factor 2\988\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\Brain\CS Site-Specific Factor 2\997\,CS|Brain|2:997,"997: Test ordered, results not in chart",LAE,@,b'',N,,,\i2b2\naaccr\csterms\Brain\CS Site-Specific Factor 2\997\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\Brain\CS Site-Specific Factor 2\998\,CS|Brain|2:998,998: No histologic examination of primary site,LAE,@,b'',N,,,\i2b2\naaccr\csterms\Brain\CS Site-Specific Factor 2\998\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\Brain\CS Site-Specific Factor 2\999\,CS|Brain|2:999,999: Unknown or no information,LAE,@,b'',N,,,\i2b2\naaccr\csterms\Brain\CS Site-Specific Factor 2\999\,like,@,concept_path,concept_dimension,concept_cd
4,\i2b2\naaccr\csterms\Brain\CS Site-Specific Factor 2\,CS|Brain|2:,02: Ki-67/MIB-1 Labeling Index (LI): Brain,FAE,@,b'1-100%  (Exact labeling index (LI) rounded to nearest percent)   Examples:     000    0.2%     001    1%     010    10%     014    13.7%     055    55.2%',N,,,\i2b2\naaccr\csterms\Brain\CS Site-Specific Factor 2\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\Brain\CS Site-Specific Factor 3\000\,CS|Brain|3:000,000: Karnofsky Performance Scale (KPS) 0,LAE,@,b'',N,,,\i2b2\naaccr\csterms\Brain\CS Site-Specific Factor 3\000\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\Brain\CS Site-Specific Factor 3\010\,CS|Brain|3:010,010: KPS 10,LAE,@,b'',N,,,\i2b2\naaccr\csterms\Brain\CS Site-Specific Factor 3\010\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\Brain\CS Site-Specific Factor 3\020\,CS|Brain|3:020,020: KPS 20,LAE,@,b'',N,,,\i2b2\naaccr\csterms\Brain\CS Site-Specific Factor 3\020\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\Brain\CS Site-Specific Factor 3\030\,CS|Brain|3:030,030: KPS 30,LAE,@,b'',N,,,\i2b2\naaccr\csterms\Brain\CS Site-Specific Factor 3\030\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\Brain\CS Site-Specific Factor 3\040\,CS|Brain|3:040,040: KPS 40,LAE,@,b'',N,,,\i2b2\naaccr\csterms\Brain\CS Site-Specific Factor 3\040\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\Brain\CS Site-Specific Factor 3\050\,CS|Brain|3:050,050: KPS 50,LAE,@,b'',N,,,\i2b2\naaccr\csterms\Brain\CS Site-Specific Factor 3\050\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\Brain\CS Site-Specific Factor 3\060\,CS|Brain|3:060,060: KPS 60,LAE,@,b'',N,,,\i2b2\naaccr\csterms\Brain\CS Site-Specific Factor 3\060\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\Brain\CS Site-Specific Factor 3\070\,CS|Brain|3:070,070: KPS 70,LAE,@,b'',N,,,\i2b2\naaccr\csterms\Brain\CS Site-Specific Factor 3\070\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\Brain\CS Site-Specific Factor 3\080\,CS|Brain|3:080,080: KPS 80,LAE,@,b'',N,,,\i2b2\naaccr\csterms\Brain\CS Site-Specific Factor 3\080\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\Brain\CS Site-Specific Factor 3\090\,CS|Brain|3:090,090: KPS 90,LAE,@,b'',N,,,\i2b2\naaccr\csterms\Brain\CS Site-Specific Factor 3\090\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\Brain\CS Site-Specific Factor 3\100\,CS|Brain|3:100,100: KPS 100,LAE,@,b'',N,,,\i2b2\naaccr\csterms\Brain\CS Site-Specific Factor 3\100\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\Brain\CS Site-Specific Factor 3\888\,CS|Brain|3:888,888: OBSOLETE DATA CONVERTED V0200,LAE,@,b'',N,,,\i2b2\naaccr\csterms\Brain\CS Site-Specific Factor 3\888\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\Brain\CS Site-Specific Factor 3\988\,CS|Brain|3:988,988: Not applicable:  Information not collected for this case,LAE,@,b'',N,,,\i2b2\naaccr\csterms\Brain\CS Site-Specific Factor 3\988\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\Brain\CS Site-Specific Factor 3\999\,CS|Brain|3:999,999: Unknown or no information,LAE,@,b'',N,,,\i2b2\naaccr\csterms\Brain\CS Site-Specific Factor 3\999\,like,@,concept_path,concept_dimension,concept_cd
4,\i2b2\naaccr\csterms\Brain\CS Site-Specific Factor 3\,CS|Brain|3:,03: Functional Neurologic Status - Karnofsky Performance Scale (KPS),FAE,@,b'',N,,,\i2b2\naaccr\csterms\Brain\CS Site-Specific Factor 3\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\Brain\CS Site-Specific Factor 4\010\,CS|Brain|4:010,010: Gene status methylated,LAE,@,b'',N,,,\i2b2\naaccr\csterms\Brain\CS Site-Specific Factor 4\010\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\Brain\CS Site-Specific Factor 4\020\,CS|Brain|4:020,020: Gene status unmethylated,LAE,@,b'',N,,,\i2b2\naaccr\csterms\Brain\CS Site-Specific Factor 4\020\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\Brain\CS Site-Specific Factor 4\888\,CS|Brain|4:888,888: OBSOLETE DATA CONVERTED V0200,LAE,@,b'',N,,,\i2b2\naaccr\csterms\Brain\CS Site-Specific Factor 4\888\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\Brain\CS Site-Specific Factor 4\988\,CS|Brain|4:988,988: Not applicable:  Information not collected for this case,LAE,@,b'',N,,,\i2b2\naaccr\csterms\Brain\CS Site-Specific Factor 4\988\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\Brain\CS Site-Specific Factor 4\998\,CS|Brain|4:998,998: No histologic examination of primary site,LAE,@,b'',N,,,\i2b2\naaccr\csterms\Brain\CS Site-Specific Factor 4\998\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\Brain\CS Site-Specific Factor 4\999\,CS|Brain|4:999,999: Unknown or no information,LAE,@,b'',N,,,\i2b2\naaccr\csterms\Brain\CS Site-Specific Factor 4\999\,like,@,concept_path,concept_dimension,concept_cd
4,\i2b2\naaccr\csterms\Brain\CS Site-Specific Factor 4\,CS|Brain|4:,04: Methylation of O6-Methylguanine-Methyltransferase (MGMT),FAE,@,b'',N,,,\i2b2\naaccr\csterms\Brain\CS Site-Specific Factor 4\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\Brain\CS Site-Specific Factor 5\010\,CS|Brain|5:010,010: Test positive for loss of heterozygosity (LOH),LAE,@,b'',N,,,\i2b2\naaccr\csterms\Brain\CS Site-Specific Factor 5\010\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\Brain\CS Site-Specific Factor 5\020\,CS|Brain|5:020,020: Test negative for LOH,LAE,@,b'',N,,,\i2b2\naaccr\csterms\Brain\CS Site-Specific Factor 5\020\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\Brain\CS Site-Specific Factor 5\888\,CS|Brain|5:888,888: OBSOLETE DATA CONVERTED V0200,LAE,@,b'',N,,,\i2b2\naaccr\csterms\Brain\CS Site-Specific Factor 5\888\,like,@,concept_path,concept_dimension,concept_cd
