item,name,format,allow_value,length,note
1785,Surv-Date Presumed Alive,YYYYMMDD,Valid dates,8,
1786,Surv-Flag Presumed Alive,,"0-3, 8,9, blank",1,
1787,Surv-Mos Presumed Alive,"Right justified, zero filled","0000-9999, blank",4,
1788,Surv-Date DX Recode,YYYYMMDD,Valid dates,8,
1790,Follow-Up Source,,"0-5, 7-9",1,
1791,Follow-up Source Central,"Right justified, zero filled","00-12, 29-35, 39-43, 48-51, 59-65, 98, 99",2,
1800,Next Follow-Up Source,,"0-5, 8, 9",1,
1810,Addr Current--City,"Mixed case letters, special characters only as allowed by USPS, embedded spaces allowed, left justified, blank filled",City name or UNKNOWN,50,
1820,Addr Current--State,"See EDITS table STATE.DBF in Appendix B; CD, US, XX, YY, ZZ",,2,
1830,Addr Current--Postal Code,"Numbers or upper case letters. No special characters or embedded spaces allowed. Left justified, blank filled.","5-digit or 9-digit U.S. ZIP codes; 6- character Canadian postal codes; valid postal codes from other countries, 888888888, 999999999, 88888+4 blanks (U.S.), 99999+4 blanks (U.S.), 999999+3 blanks (Canada)",9,
1832,Addr Current--Country,Upper case,"International Standards Organization (ISO) 3166-1 Country Three Character Codes and custom codes: ZZN, ZZC, ZZS, ZZP, ZZE, ZZF, ZZA, ZZX, ZZU, XNI, XCB, XEN, XSC, XGR, XSL, CSK, YUG, XUM, XNF, XSD, XWF, XSF, XEF, XIF, XET, XAP, XIS, XCR, XOR, XSE, XMS, XCH, XML, XMC, XPL",3,
1835,Reserved 10,,,100,Revised
1840,County--Current,"Right justified, zero filled","See Appendix A for standard FIPS county codes.  See EDITS table BPLACE.DBF in Appendix B for geocodes used by CoC for non-U.S. residents.  Also 998, 999",3,
1842,Follow-Up Contact--City,"Mixed case letters, special characters only as allowed by USPS, embedded spaces allowed, left justified, blank filled",City name or UNKNOWN,50,
1844,Follow-Up Contact--State,Upper case,See EDITS table STATE.DBF in Appendix B,2,
1846,Follow-Up Contact--Postal,"Numbers or upper case letters. No special characters or embedded spaces allowed. Left justified, blank filled","5-digit or 9-digit U.S. ZIP codes; 6- character Canadian postal codes; valid postal codes from other countries, 888888888, 999999999, 88888+4 blanks (U.S.), 99999+4 blanks (U.S.), 999999+3 blanks (Canada)",9,
1847,FollowUp Contact--Country,Upper case,"Use the International Standards Organization (ISO) 3166-1 Country Three Character Codes, augmented by custom codes: ZZN, ZZC, ZZS, ZZP, ZZE, ZZF, ZZA, ZZX, ZZU, XNI, XCB, XEN, XSC, XGR, XSL, CSK, YUG, XUM, XNF, XSD, XWF, XSF, XEF, XIF, XET, XAP, XIS, XCR, XOR, XSE, XMS, XCH, XML, XMC, XPL. See Appendix B for complete list of country names and corresponding three character alpha codes.",3,
1850,Unusual Follow-Up Method,,00-99,2,
1860,Recurrence Date--1st,YYYYMMDD,Valid dates,8,
1861,Recurrence Date--1st Flag,,"10-20, blank",2,
1870,Recurrence Distant Sites,,,,Retired
1871,Recurrence Distant Site 1,,,,Retired
1872,Recurrence Distant Site 2,,,,Retired
1873,Recurrence Distant Site 3,,,,Retired
1880,Recurrence Type--1st,"Right justified, zero filled","00, 04, 06, 10, 13-17, 20-22, 25-27, 30, 36, 40, 46, 51-60, 62, 70, 88, 99",2,
1890,Recurrence Type--1st--Oth,,,,Retired
1900,Reserved 11,,,50,
1910,Cause of Death,"4 digits (for ICD-7, 8, 9); for ICD-10,  upper case letter followed by 3 digits or upper case letter followed by 2 digits plus blank","Valid ICD-7, ICD-8, ICD-9, and ICD-10 codes; also 0000, 7777, 7797",4,
1914,SEER Cause Specific COD,,"0, 1, 8, 9",1,New
1915,SEER Other COD,,"0, 1, 8, 9",1,New
1920,ICD Revision Number,,"0, 1, 7, 8, 9",1,
1930,Autopsy,,"0-2, 9",1,
1940,Place of Death,"Right justified, zero filled",Reference SEER Manual,3,
1942,Place of Death--State,Upper case,"USPS or CanadaPost 2-character codes; CD, US, XX, YY, ZZ, Blank",2,
1944,Place of Death--Country,Upper case,"International Standards Organization (ISO) 3166-1 Country Three Character Codes augmented by custom codes: ZZN, ZZC, ZZS, ZZP, ZZE, ZZF, ZZA, ZZX, ZZU, XNI, XCB, XEN, XSC, XGR, XSL, CSK, YUG, XUM, XNF, XSD, XWF, XSF, XEF, XIF, XET, XAP, XIS, XCR, XOR, XSE, XMS, XCH, XML, XMC, XPL, Blank. See Appendix B for complete list of country names and corresponding three character alpha codes.",3,
1960,Site (73-91) ICD-O-1,"Four digits, first digit equals 1. Reference ICD-O-1 for valid entries",1400-1999,4,
1970,Morph (73-91) ICD-O-1,,Reference ICD-O-1 for valid entries,6,
1971,Histology (73-91) ICD-O-1,Reference ICD-O-1 for valid entries,8000-9970,4,
1972,Behavior (73-91) ICD-O-1,,Reference ICD-O-1 for valid entries,1,
1973,Grade (73-91) ICD-O-1,,Reference ICD-O-1 for valid entries,1,
1980,ICD-O-2 Conversion Flag,,"0-6, blank",1,
1981,Over-ride SS/NodesPos,,1 or blank,1,
1982,Over-ride SS/TNM-N,,1 or blank,1,
1983,Over-ride SS/TNM-M,,1 or blank,1,
1984,Over-ride SS/DisMet1,,,,Retired
1985,Over-ride Acsn/Class/Seq,,1 or blank,1,
1986,Over-ride HospSeq/DxConf,,1 or blank,1,
1987,Over-ride CoC-Site/Type,,1 or blank,1,
1988,Over-ride HospSeq/Site,,1 or blank,1,
1989,Over-ride Site/TNM-StgGrp,,1 or blank,1,
1990,Over-ride Age/Site/Morph,,1-3 or blank,1,
1992,Over-ride TNM Stage,,"1, Blank",1,New
1993,Over-ride TNM Tis,,"1, Blank",1,New
1994,Over-ride TNM 3,,"1, Blank",1,New
2000,Over-ride SeqNo/DxConf,,1 or blank,1,
2010,Over-ride Site/Lat/SeqNo,,1 or blank,1,
2020,Over-ride Surg/DxConf,,1 or blank,1,
2030,Over-ride Site/Type,,1 or blank,1,
2040,Over-ride Histology,,1-3 or blank,1,
2050,Over-ride Report Source,,1 or blank,1,
2060,Over-ride Ill-define Site,,1 or blank,1,
2070,"Over-ride Leuk, Lymphoma",,1 or blank,1,
2071,Over-ride Site/Behavior,,1 or blank,1,
2072,Over-ride Site/EOD/DX Dt,,1 or blank,1,
2073,Over-ride Site/Lat/EOD,,1 or blank,1,
2074,Over-ride Site/Lat/Morph,,1 or blank,1,
2078,Over-ride Name/Sex,,"1, Blank",1,New
2080,Reserved 13,,,250,Revised
2081,CRC CHECKSUM,,Calculated or blank,10,
2085,Date Case Initiated,YYYYMMDD,Valid date,8,
2090,Date Case Completed,YYYYMMDD,Valid date,8,
2092,Date Case Completed--CoC,YYYYMMDD,Valid date,8,
2100,Date Case Last Changed,YYYYMMDD,Valid date,8,
2110,Date Case Report Exported,YYYYMMDD,Valid date,8,
2111,Date Case Report Received,YYYYMMDD,Valid date,8,
2112,Date Case Report Loaded,YYYYMMDD,Valid date,8,
2113,Date Tumor Record Availbl,YYYYMMDD,Valid date,8,
2114,Future Use Timeliness 1,,,,Retired
2115,Future Use Timeliness 2,,,,Retired
2116,ICD-O-3 Conversion Flag,,"Blank, 0, 1, 3",1,
2120,SEER Coding Sys--Current,,Alphanumeric,1,
2130,SEER Coding Sys--Original,,Alphanumeric,1,
2140,CoC Coding Sys--Current,"Right justified, zero filled","00-09, 99",2,Revised
2150,CoC Coding Sys--Original,"Right justified, zero filled","00-09, 99",2,Revised
2152,CoC Accredited Flag,,"0, 1, 2, Blank",1,New
2155,RQRS NCDB Submission Flag,,"1, 2",1,New
2160,Subsq Report for Primary,,,,Retired
2161,Reserved 18,,,1,Retired
2162,Reserved 19,,,1,Retired
2163,Reserved 20,,,1,Retired
2170,Vendor Name,,,10,
2180,SEER Type of Follow-Up,,1-4,1,
2190,SEER Record Number,"Right justified, zero filled",01-99,2,
2200,Diagnostic Proc 73-87,,,2,
2210,Reserved 14,,,2000,
2220,State/Requestor Items,,,1000,
2230,Name--Last,"Mixed case, left justified.Truncate name if nore than 40 characters long.","Spaces, hyphens and apostrophes are allowed. Do not use other punctuation.",40,
2240,Name--First,"Mixed case, left justified. Truncate name if nore than 40 characters long.","Blanks, spaces, hyphens and apostrophes are allowed. Do not use other punctuation.",40,
2250,Name--Middle,"Mixed case, left justified. Truncate name if nore than 40 characters long.","Blanks, spaces, hyphens and apostrophes are allowed. Do not use other punctuation.",40,
2260,Name--Prefix,,,3,
2270,Name--Suffix,,,3,
2280,Name--Alias,Truncate name if nore than 40 characters long; this field may be updated if the name changes.,"Blanks, spaces, hyphens, apostrophes are allowed; do not use other punctuation.",40,
2290,Name--Spouse/Parent,,,60,
2300,Medical Record Number,"Right justified, space filled",Alphanumeric,11,
2310,Military Record No Suffix,"Right justified, zero filled","01-20, 30-69, 98, 99, blank",2,
2315,Medicare Beneficiary Identifier,,"Alphanumeric, Blank",11,New
2320,Social Security Number,"9 digits, no dashes","001010001-899999999, 999999999. Invalid values in this range exist.",9,
2330,Addr at DX--No & Street,"Mixed case, embedded spaces, punctuation limited to periods, slashes, hyphens, and pound signs. Left justified, space filled",Valid address or UNKNOWN,60,
2335,Addr at DX--Supplementl,"Mixed case, embedded spaces, punctuation limited to periods, slashes, hyphens, and pound signs. Left justified, space filled",Valid address or blank,60,
2350,Addr Current--No & Street,"Mixed case, embedded spaces, punctuation limited to periods, slashes, hyphens, and pound signs. Left justified, space filled",Valid address or UNKNOWN,60,
2352,Latitude,Right justified,"Numbers, decimal point, negative sign",10,
2354,Longitude,Right justified,"Numbers, decimal point, negative sign",11,
2355,Addr Current--Supplementl,"Mixed case, embedded spaces, punctuation limited to periods, slashes, hyphens, and pound signs. Left justified, space filled",,60,
2360,Telephone,10-digit number,Any 10-digit number,10,
2370,DC State,,,,Retired
2380,DC State File Number,,Any characters or blank,6,
2390,Name--Maiden,Truncate name if nore than 40 characters long.,"Blanks, spaces, hyphens, apostrophes are allowed; do not use other punctuation",40,
2392,Follow-Up Contact--No&St,"Mixed case, embedded spaces, punctuation limited to periods, slashes, hyphens, and pound signs. Left justified, space filled",,60,
2393,Follow-Up Contact--Suppl,"Mixed case, embedded spaces, punctuation limited to periods, slashes, hyphens, and pound signs. Left justified, space filled",,60,
2394,Follow-Up Contact--Name,,,60,
2400,Reserved 15,,,1,
2410,Institution Referred From,Right justified and zero filled,10-digit number,10,
2415,NPI--Inst Referred From,,"10-digit NPI code (9-digit NPI integer plus 1 check digit), blank",10,
2420,Institution Referred To,Right justified and zero filled,10-digit number,10,
2425,NPI--Inst Referred To,,"10-digit NPI code (9-digit NPI integer plus 1 check digit), blank",10,
2430,Last Follow-Up Hospital,,,,Retired
2440,Following Registry,Right justified and zero filled,10-digit number,10,
2445,NPI--Following Registry,,"10-digit NPI code (9-digit NPI integer plus 1 check digit), blank",10,
2450,Reserved 16,,,12,Revised
2460,Physician--Managing,Left justified,,8,
2465,NPI--Physician--Managing,,"10-digit NPI code (9-digit NPI integer plus 1 check digit), blank",10,
2470,Physician--Follow-Up,Left justified,,8,
2475,NPI--Physician--Follow-Up,,"10-digit NPI codes (9-digit NPI integer plus 1 check digit), blank",10,
2480,Physician--Primary Surg,Left justified,,8,
2485,NPI--Physician--Primary Surg,,"10-digit NPI code (9-digit NPI integer plus 1 check digit), blank",10,
2490,Physician 3,Left justified,,8,
2495,NPI--Physician 3,,"10-digit NPI code (9-digit NPI integer plus 1 check digit), blank",10,
2500,Physician 4,Left justified,,8,
2505,NPI--Physician 4,,"10-digit NPI code (9-digit NPI integer plus 1 check digit), blank",10,
2508,EHR Reporting,,Free text,1000,New
2510,Reserved 12,,,50,
2520,Text--DX Proc--PE,Free text,Neither carriage return nor line feed characters allowed,1000,
2530,Text--DX Proc--X-ray/Scan,Free text,Neither carriage return nor line feed characters allowed,1000,
2540,Text--DX Proc--Scopes,Free text,Neither carriage return nor line feed characters allowed,1000,
2550,Text--DX Proc--Lab Tests,Free text,Neither carriage return nor line feed characters allowed,1000,
2560,Text--DX Proc--Op,Free text,Neither carriage return nor line feed characters allowed,1000,
2570,Text--DX Proc--Path,Free text,Neither carriage return nor line feed characters allowed,1000,
2580,Text--Primary Site Title,Free text,Neither carriage return nor line feed characters allowed,100,
2590,Text--Histology Title,Free text,Neither carriage return nor line feed characters allowed,100,
2600,Text--Staging,Free text,Neither carriage return nor line feed characters allowed,1000,
2610,RX Text--Surgery,Free text,Neither carriage return nor line feed characters allowed,1000,
2620,RX Text--Radiation (Beam),Free text,Neither carriage return nor line feed characters allowed,1000,
2630,RX Text--Radiation Other,Free text,Neither carriage return nor line feed characters allowed,1000,
2640,RX Text--Chemo,Free text,Neither carriage return nor line feed characters allowed,1000,
2650,RX Text--Hormone,Free text,Neither carriage return nor line feed characters allowed,1000,
2660,RX Text--BRM,Free text,Neither carriage return nor line feed characters allowed,1000,
2670,RX Text--Other,Free text,Neither carriage return nor line feed characters allowed,1000,
2680,Text--Remarks,Free text,Neither carriage return nor line feed characters allowed,1000,
2690,Text--Place of Diagnosis,Free text,Neither carriage return nor line feed characters allowed,60,
2700,Reserved 17,,,,Retired
2730,CS PreRx Tumor Size,,,,Retired
2735,CS PreRx Extension,,,,Retired
2740,CS PreRx Tum Sz/Ext Eval,,,,Retired
2750,CS PreRx Lymph Nodes,,,,Retired
2755,CS PreRx Reg Nodes Eval,,,,Retired
2760,CS PreRx Mets at DX,,,,Retired
2765,CS PreRx Mets Eval,,,,Retired
2770,CS PostRx Tumor Size,,,,Retired
2775,CS PostRx Extension,,,,Retired
2780,CS PostRx Lymph Nodes,,,,Retired
2785,CS PostRx Mets at DX,,,,Retired
2800,CS Tumor Size,"Right justified, zero filled",000-999 (site-specific),3,
2810,CS Extension,"Right justified, zero filled",000-999 (site-specific),3,
2820,CS Tumor Size/Ext Eval,,0-9 (site-specific),1,
2830,CS Lymph Nodes,"Right justified, zero filled",000-999 (site-specific),3,
2840,CS Lymph Nodes Eval,,0-9 (site-specific),1,
2850,CS Mets at DX,"Right justified, zero filled",00-99 (site-specific),2,
2851,CS Mets at Dx-Bone,,"0, 1, 8, 9",1,
2852,CS Mets at Dx-Brain,,"0, 1, 8, 9",1,
2853,CS Mets at Dx-Liver,,"0, 1, 8, 9",1,
2854,CS Mets at Dx-Lung,,"0, 1, 8, 9",1,
2860,CS Mets Eval,,0-9 (site-specific),1,
2861,CS Site-Specific Factor 7,"Right justified, zero filled",000-999 (site-specific),3,
2862,CS Site-Specific Factor 8,"Right justified, zero filled",000-999 (site-specific),3,
2863,CS Site-Specific Factor 9,"Right justified, zero filled",000-999 (site-specific),3,
2864,CS Site-Specific Factor10,"Right justified, zero filled",000-999 (site-specific),3,
2865,CS Site-Specific Factor11,"Right justified, zero filled",000-999 (site-specific),3,
2866,CS Site-Specific Factor12,"Right justified, zero filled",000-999 (site-specific),3,
2867,CS Site-Specific Factor13,"Right justified, zero filled",000-999 (site-specific),3,
2868,CS Site-Specific Factor14,"Right justified, zero filled",000-999 (site-specific),3,
2869,CS Site-Specific Factor15,"Right justified, zero filled",000-999 (site-specific),3,
2870,CS Site-Specific Factor16,"Right justified, zero filled",000-999 (site-specific),3,
2871,CS Site-Specific Factor17,"Right justified, zero filled",000-999 (site-specific),3,
2872,CS Site-Specific Factor18,"Right justified, zero filled",000-999 (site-specific),3,
2873,CS Site-Specific Factor19,"Right justified, zero filled",000-999 (site-specific),3,
2874,CS Site-Specific Factor20,"Right justified, zero filled",000-999 (site-specific),3,
2875,CS Site-Specific Factor21,"Right justified, zero filled",000-999 (site-specific),3,
2876,CS Site-Specific Factor22,"Right justified, zero filled",000-999 (site-specific),3,
2877,CS Site-Specific Factor23,"Right justified, zero filled",000-999 (site-specific),3,
2878,CS Site-Specific Factor24,"Right justified, zero filled",000-999 (site-specific),3,
2879,CS Site-Specific Factor25,"Right justified, zero filled",000-999 (site-specific),3,
2880,CS Site-Specific Factor 1,"Right justified, zero filled",000-999 (site-specific),3,
2890,CS Site-Specific Factor 2,"Right justified, zero filled",000-999 (site-specific),3,
2900,CS Site-Specific Factor 3,"Right justified, zero filled",000-999 (site-specific),3,
2910,CS Site-Specific Factor 4,"Right justified, zero filled",000-999 (site-specific),3,
2920,CS Site-Specific Factor 5,"Right justified, zero filled",000-999 (site-specific),3,
2930,CS Site-Specific Factor 6,"Right justified, zero filled",000-999 (site-specific),3,
2935,CS Version Input Original,6-digit number,Valid 6-digit CS version number,6,
2936,CS Version Derived,6-digit number,Valid 6-digit CS version number,6,
2937,CS Version Input Current,6-digit number,Valid 6-digit CS version number,6,
2940,Derived AJCC-6 T,,"Site-specific (derived from Collaborative Stage fields), blank",2,
2950,Derived AJCC-6 T Descript,,"c, p, a, y, N, and blank  (derived  from Collaborative Stage fields)",1,
2960,Derived AJCC-6 N,,"Site-specific (derived from Collaborative Stage fields), blank",2,
2970,Derived AJCC-6 N Descript,,"c, p, a, y, N, and blank (derived from Collaborative Stage fields)",1,
2980,Derived AJCC-6 M,,"Site-specific (derived from Collaborative Stage fields), blank",2,
2990,Derived AJCC-6 M Descript,,"c, p, a, y, N, and blank (derived from Collaborative Stage fields)",1,
3000,Derived AJCC-6 Stage Grp,,Site-specific (derived from Collaborative Stage fields),2,
3010,Derived SS1977,,"0-5, 7, 8, 9 (derived from Collaborative Stage fields)",1,
3020,Derived SS2000,,"0-5, 7, 8, 9 (derived from Collaborative Stage fields)",1,
3030,Derived AJCC--Flag,,"1, 2, blank",1,
3040,Derived SS1977--Flag,,"1, 2, blank",1,
3050,Derived SS2000--Flag,,"1, 2, blank",1,
3100,Archive FIN,"Right justified, zero filled",10-digit number,10,
3105,NPI--Archive FIN,,"10-digit NPI code (9-digit NPI integer plus 1 check digit), blank",10,
3110,Comorbid/Complication 1,"Left justified, zero filled","00000, 00100-13980, 24000-99990, E8700-E8799, E9300-E9499, V0720-V0739, V1000-V1590, V2220-V2310, V2540, V4400-V4589, V5041-V5049",5,
3120,Comorbid/Complication 2,"Left justified, zero filled","00100-13980, 24000-99990, E8700-E8799, E9300-E9499, V0720-V0739, V1000-V1590, V2220-V2310, V2540, V4400-V4589, V5041-V5049, Blank",5,
3130,Comorbid/Complication 3,"Left justified, zero filled","00100-13980, 24000-99990, E8700-E8799, E9300-E9499, V0720-V0739, V1000-V1590, V2220-V2310, V2540, V4400-V4589, V5041-V5049, Blank",5,
3140,Comorbid/Complication 4,"Left justified, zero filled","00100-13980, 24000-99990, E8700-E8799, E9300-E9499, V0720-V0739, V1000-V1590, V2220-V2310, V2540, V4400-V4589, V5041-V5049, Blank",5,
3150,Comorbid/Complication 5,"Left justified, zero filled","00100-13980, 24000-99990, E8700-E8799, E9300-E9499, V0720-V0739, V1000-V1590, V2220-V2310, V2540, V4400-V4589, V5041-V5049, Blank",5,
3160,Comorbid/Complication 6,"Left justified, zero filled","00100-13980, 24000-99990, E8700-E8799, E9300-E9499, V0720-V0739, V1000-V1590, V2220-V2310, V2540, V4400-V4589, V5041-V5049, Blank",5,
3161,Comorbid/Complication 7,"Left justified, zero filled","00100-13980, 24000-99990, E8700-E8799, E9300-E9499, V0720-V0739, V1000-V1590, V2220-V2310, V2540, V4400-V4589, V5041-V5049, Blank",5,
3162,Comorbid/Complication 8,"Left justified, zero filled","00100-13980, 24000-99990, E8700-E8799, E9300-E9499, V0720-V0739, V1000-V1590, V2220-V2310, V2540, V4400-V4589, V5041-V5049, Blank",5,
3163,Comorbid/Complication 9,"Left justified, zero filled","00100-13980, 24000-99990, E8700-E8799, E9300-E9499, V0720-V0739, V1000-V1590, V2220-V2310, V2540, V4400-V4589, V5041-V5049, Blank",5,
3164,Comorbid/Complication 10,"Left justified, zero filled","00100-13980, 24000-99990, E8700-E8799, E9300-E9499, V0720-V0739, V1000-V1590, V2220-V2310, V2540, V4400-V4589, V5041-V5049, Blank",5,
3165,ICD Revision Comorbid,,"0, 1, 9, blank",1,
3170,RX Date Mst Defn Srg,YYYYMMDD,Valid dates,8,
3171,RX Date Mst Defn Srg Flag,,"10-20, blank",2,
3180,RX Date Surg Disch,YYYYMMDD,Valid dates,8,
3181,RX Date Surg Disch Flag,,"10-20, blank",2,
3190,Readm Same Hosp 30 Days,,"0-3, 9",1,
3200,Rad--Boost RX Modality,"Right justified, zero filled","00, 20-32, 40-43, 50-55, 60-62, 98, 99",2,
3210,Rad--Boost Dose cGy,"Right justified, zero filled",00000-99999,5,
3220,RX Date Rad Ended,YYYYMMDD,Valid dates,8,
3221,RX Date Rad Ended Flag,,"10-20, blank",2,
3230,RX Date Systemic,YYYYMMDD,Valid dates,8,
3231,RX Date Systemic Flag,,"10-20, blank",2,
3250,RX Summ--Transplnt/Endocr,"Right justified, zero filled","00, 10-12, 20, 30, 40, 82, 85-88, 99",2,
3260,Pain Assessment,,,,Retired
3270,RX Summ--Palliative Proc,,"0-7, 9",1,
3280,RX Hosp--Palliative Proc,,"0-7, 9",1,
3300,RuralUrban Continuum 1993,"Right justified, zero filled","00-09, 98, 99, blank",2,
3310,RuralUrban Continuum 2003,"Right justified, zero filled","01-09, 98, 99, blank",2,
3312,RuralUrban Continuum 2013,,"00-09, 98, 99",2,
3400,Derived AJCC-7 T,"Right justified, zero filled",000-999,3,
3402,Derived AJCC-7 T Descript,,"c, p, a, y, N, blank",1,
3410,Derived AJCC-7 N,"Right justified, zero filled",000-999,3,
3412,Derived AJCC-7 N Descript,,"c, p, a, y, N, blank",1,
3420,Derived AJCC-7 M,"Right justified, zero filled",000-999,3,
3422,Derived AJCC-7 M Descript,,"c, p, a, y, N, blank",1,
3430,Derived AJCC-7 Stage Grp,"Right justified, zero filled",000-999,3,
3440,Derived PreRx-7 T,"Right justified, zero filled",000-999,3,
3442,Derived PreRx-7 T Descrip,,"c, N, blank",1,
3450,Derived PreRx-7 N,"Right justified, zero filled",000-999,3,
3452,Derived PreRx-7 N Descrip,,"c, N, blank",1,
3460,Derived PreRx-7 M,"Right justified, zero filled",000-999,3,
3462,Derived PreRx-7 M Descrip,,"c, N, blank",1,
3470,Derived PreRx-7 Stage Grp,"Right justified, zero filled",000-999,3,
3480,Derived PostRx-7 T,"Right justified, zero filled",000-999,3,
3482,Derived PostRx-7 N,"Right justified, zero filled",000-999,3,
3490,Derived PostRx-7 M,"Right justified, zero filled",00-99,2,
3492,Derived PostRx-7 Stge Grp,"Right justified, zero filled",000-999,3,
3600,Derived Neoadjuv Rx Flag,,"0,1,9",1,
3605,Derived SEER Path Stg Grp,"Upper-case alphanumeric, left justified","0, 0A, 0IS, 1,1A, 1A1, 1A2, 1B, 1B1, 1B2, 1C, 1S, 2, 2A, 2A1, 2A2, 2B, 2C, 3, 3A, 3B, 3C, 3C1, 3C2, 4, 4A, 4A1, 4A2, 4B, 4C, OC, 88, 99, Blank",5,
3610,Derived SEER Clin Stg Grp,"Upper-case alphanumeric, left justified","0, 0A, 0IS, 1,1A, 1A1, 1A2, 1B, 1B1, 1B2, 1C, 1S, 2, 2A, 2A1, 2A2, 2B, 2C, 3, 3A, 3B, 3C, 3C1, 3C2, 4, 4A, 4A1, 4A2, 4B, 4C, OC, 88, 99, Blank",5,
3614,Derived SEER Cmb Stg Grp,"Upper-case alphanumeric, Left justified","0, 0A, 0IS, 1,1A, 1A1, 1A2, 1B, 1B1, 1B2, 1C, 1S, 2, 2A, 2A1, 2A2, 2B, 2C, 3, 3A, 3B, 3C, 3C1, 3C2, 4, 4A, 4A1, 4A2, 4B, 4C, OC, 88, 99, Blank",5,
3616,Derived SEER Combined T,"Upper-case alphanumeric, left justified, blank filled","See AJCC Cancer Staging Manual and FORDS Manual; also 88, blank",5,
3618,Derived SEER Combined N,"Upper-case alphanumeric, left justified, blank filled","See AJCC Cancer Staging Manual and FORDS Manual; also 88, blank",5,
3620,Derived SEER Combined M,"Upper-case alphanumeric, left justified, blank filled","See AJCC Cancer Staging Manual and FORDS Manual; also 88, blank",5,
3622,Derived SEER Cmb T Src,,"1, 2, 3, 9",1,
3624,Derived SEER Cmb N Src,,"1, 2, 3, 9",1,
3626,Derived SEER Cmb M Src,,"1, 2, 3, 9",1,
3645,NPCR Derived AJCC 8 TNM Clin Stg Grp,Left justified,"Codes published in the AJCC Cancer Staging Manual, 88, 99, Blank",15,New
3646,NPCR Derived AJCC 8 TNM Path Stg Grp,Left justified,"Codes published in the AJCC Cancer Staging Manual, 88, 99, Blank",15,New
3647,NPCR Derived AJCC 8 TNM Post Therapy Stg Grp,Left justified,"Codes published in the AJCC Cancer Staging Manual, 88, 99, Blank",15,New
3650,NPCR Derived Clin Stg Grp,"Upper case, alphanumeric. Convert AJCC Roman numerals to Arabic numerals. Left justified, blank filled.","See the FORDS Manual for valid codes; also 88, 99 and blank",4,
3655,NPCR Derived Path Stg Grp,"Upper case, alphanumeric. Convert AJCC Roman numerals to Arabic numerals. Left justified, blank filled.","See the FORDS Manual for valid codes; also 88, 99 and Blank",4,
3700,SEER Site-Specific Fact 1,,"0-9, blank",1,
3702,SEER Site-Specific Fact 2,,"0-9, blank",1,
3704,SEER Site-Specific Fact 3,,"0-9, blank",1,
3706,SEER Site-Specific Fact 4,,"0-9, blank",1,
3708,SEER Site-Specific Fact 5,,"0-9, blank",1,
3710,SEER Site-Specific Fact 6,,"0-9, blank",1,
3720,NPCR Specific Field,,To be determined for each site where needed. NPCR provides appropriate detailed information as the need for this data collection arises.,75,
3750,Over-ride CS 1,,"1, blank",1,
3751,Over-ride CS 2,,"1, blank",1,
3752,Over-ride CS 3,,"1, blank",1,
3753,Over-ride CS 4,,"1, blank",1,
3754,Over-ride CS 5,,"1, blank",1,
3755,Over-ride CS 6,,"1, blank",1,
3756,Over-ride CS 7,,"1, blank",1,
3757,Over-ride CS 8,,"1, blank",1,
3758,Over-ride CS 9,,"1, blank",1,
3759,Over-ride CS 10,,"1, blank",1,
3760,Over-ride CS 11,,"1, blank",1,
3761,Over-ride CS 12,,"1, blank",1,
3762,Over-ride CS 13,,"1, blank",1,
3763,Over-ride CS 14,,"1, blank",1,
3764,Over-ride CS 15,,"1, blank",1,
3765,Over-ride CS 16,,"1, blank",1,
3766,Over-ride CS 17,,"1, blank",1,
3767,Over-ride CS 18,,"1, blank",1,
3768,Over-ride CS 19,,"1, blank",1,
3769,Over-ride CS 20,,"1, blank",1,
3780,Secondary Diagnosis 1,"Left justified, starting with a character, there will be a presumed decimal point between the third and fourth characters in the reported value","A00.0 - B99.9, E00.0 - E89.89, G00.0 - P96.9, R00.0 - S99.929, T36.0 - T50.996, Y62.0 - Y84.9, Z14.0 - Z22.9, Z68.1 - Z68.54, Z80.0 - Z80.9, Z85.0 - Z86.03, Z86.1 - Z99.89    	",7,
3782,Secondary Diagnosis 2,"Left justified, starting with a character, there will be a presumed decimal point between the third and fourth characters in the reported value ","A00.0 - B99.9, E00.0 - E89.89, G00.0 - P96.9, R00.0 - S99.929, T36.0 - T50.996, Y62.0 - Y84.9, Z14.0 - Z22.9, Z68.1 - Z68.54, Z80.0 - Z80.9, Z85.0 - Z86.03, Z86.1 - Z99.89",7,
3784,Secondary Diagnosis 3,"Left justified, starting with a character, there will be a presumed decimal point between the third and fourth characters in the reported value ","A00.0 - B99.9, E00.0 - E89.89, G00.0 - P96.9, R00.0 - S99.929, T36.0 - T50.996, Y62.0 - Y84.9, Z14.0 - Z22.9, Z68.1 - Z68.54, Z80.0 - Z80.9, Z85.0 - Z86.03, Z86.1 - Z99.89",7,
3786,Secondary Diagnosis 4,"Left justified, starting with a character, there will be a presumed decimal point between the third and fourth characters in the reported value ","A00.0 - B99.9, E00.0 - E89.89, G00.0 - P96.9, R00.0 - S99.929, T36.0 - T50.996, Y62.0 - Y84.9, Z14.0 - Z22.9, Z68.1 - Z68.54, Z80.0 - Z80.9, Z85.0 - Z86.03, Z86.1 - Z99.89",7,
